"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"152351018","Benign neoplasm of adrenal gland","B7H0.00","91967007","CPRD_AURUM"
"304961000006119","[M]Adrenal cortical adenoma, clear cell type","BB5h400","18977007","CPRD_AURUM"
"304971000006114","[M]Adrenal cortical adenoma, compact cell type","BB5h200","63687009","CPRD_AURUM"
"304981000006112","[M]Adrenal cortical adenoma, glomerulosa cell type","BB5h500","19329008","CPRD_AURUM"
"305001000006115","[M]Adrenal cortical adenoma, mixed cell type","BB5h600","39720002","CPRD_AURUM"
"305991000006114","[M]Black adenoma","BB5h311","37302003","CPRD_AURUM"
"5324931000006116","Benign pheochromocytoma","","253032007","CPRD_AURUM"
"3994931000006113","Benign tumor of adrenal gland","","91967007","CPRD_AURUM"
"2791891000006119","Adrenal cortical adenoma, no International Classification of Diseases for Oncology subtype","","18365006","CPRD_AURUM"
"3994921000006110","Benign tumour of adrenal gland","","91967007","CPRD_AURUM"
"3535831000006119","Adrenal cortical adenoma, compact cell","","63687009","CPRD_AURUM"
"3535841000006112","Adrenal cortical adenoma - compact cell","","63687009","CPRD_AURUM"
"2801201000006110","Adrenal cortical adenoma, clear cell","","18977007","CPRD_AURUM"
"2806731000006115","Adrenal cortical adenoma, glomerulosa cell","","19329008","CPRD_AURUM"
"2806741000006113","Adrenal cortical adenoma - glomerulosa cell","","19329008","CPRD_AURUM"
"3101041000006118","Black adenoma","","37302003","CPRD_AURUM"
"3138951000006117","Adrenal cortical adenoma, mixed cell","","39720002","CPRD_AURUM"
"152774016","Benign neoplasm of periadrenal tissue","B718000","92287004","CPRD_AURUM"
"304991000006110","[M]Adrenal cortical adenoma, heavily pigmented variant","BB5h300","37302003","CPRD_AURUM"
"2791841000006111","Adrenal cortical tumor, benign","","18365006","CPRD_AURUM"
"3101021000006113","Adrenal cortical adenoma, pigmented","","37302003","CPRD_AURUM"
"3101031000006111","Adrenal cortical adenoma, heavily pigmented variant","","37302003","CPRD_AURUM"
"2791831000006118","Adrenal cortical adenoma morphology","","18365006","CPRD_AURUM"
"3138961000006115","Adrenal cortical adenoma - mixed cell","","39720002","CPRD_AURUM"
"2791861000006110","Adrenal cortical tumour, benign","","18365006","CPRD_AURUM"
"2801211000006113","Adrenal cortical adenoma - clear cell","","18977007","CPRD_AURUM"
"2791881000006117","Adrenal cortical adenoma, no ICD-O subtype","","18365006","CPRD_AURUM"
"376860018","Benign phaeochromocytoma","B7H0000","253032007","CPRD_AURUM"
"291457011","[M]Adrenal cortical adenoma NOS","BB5h000","18365006","CPRD_AURUM"
"8030831000006114","Adrenal incidentaloma","","97881000119105","CPRD_AURUM"
"5354881000006114","Adrenal adenoma","","255036008","CPRD_AURUM"
"5911641000006117","Adrenal cortical adenoma","","302826002","CPRD_AURUM"
