"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"158459012","Chronic paroxysmal hemicrania","F262700","95654002","CPRD_AURUM"
"345367011","Chronic post-traumatic headache","F29y500","230477005","CPRD_AURUM"
"1708841000006115","Chronic headache disorder","","1708841000006104","CPRD_AURUM"
"1716421000006114","[X]Chronic headache disorder","Fyu5E00","431237007","CPRD_AURUM"
"1743431000006111","Chronic Paroxysmal Hemicrania","","1743431000006107","CPRD_AURUM"
"2839331010","Hemicrania continua","","443095000","CPRD_AURUM"
"345361012","Chronic tension-type headache","F262B00","230471006","CPRD_AURUM"
"5008401000006116","Chronic cluster headache","","230473009","CPRD_AURUM"
"5008421000006114","Chronic cluster headache evolved from episodic cluster headache","","230475002","CPRD_AURUM"
"5008411000006118","Chronic cluster headache unremitting from onset","","230474003","CPRD_AURUM"
"12345321000006119","Chronic migraine","","427419006","CPRD_AURUM"
"3636895011","Chronic primary headache","","762592003","CPRD_AURUM"
"8038031000006118","New daily persistent headache","","121021000119105","CPRD_AURUM"
