"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"M890","Algoneurodystrophy","M89.0","","ICD10"
"M8900","Algoneurodystrophy","M89.00","","ICD10"
"M8901","Algoneurodystrophy","M89.01","","ICD10"
"M8902","Algoneurodystrophy","M89.02","","ICD10"
"M8903","Algoneurodystrophy","M89.03","","ICD10"
"M8904","Algoneurodystrophy","M89.04","","ICD10"
"M8905","Algoneurodystrophy","M89.05","","ICD10"
"M8906","Algoneurodystrophy","M89.06","","ICD10"
"M8907","Algoneurodystrophy","M89.07","","ICD10"
"M8908","Algoneurodystrophy","M89.08","","ICD10"
"M8909","Algoneurodystrophy","M89.09","","ICD10"
"R521","Chronic intractable pain","R52.1","","ICD10"
"R522","Other chronic pain","R52.2","","ICD10"
