"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"16299015","Second degree uterine prolapse","K511100","9283009","CPRD_AURUM"
"67395018","Cystocele without uterine prolapse","K510000","40421008","CPRD_AURUM"
"80356011","First degree uterine prolapse","K511000","48230001","CPRD_AURUM"
"106143018","Third degree uterine prolapse","K511200","63871009","CPRD_AURUM"
"122880015","Genital prolapse","K51..00","73998008","CPRD_AURUM"
"265671011","Repair of vault of vagina","7D19.00","171456005","CPRD_AURUM"
"304815013","Uterovaginal prolapse, incomplete","K512.00","198268002","CPRD_AURUM"
"324959012","Problem with vaginal pessary","SP07900","213139001","CPRD_AURUM"
"355002017","Sacrospinous fixation of vaginal vault","7D19500","236859002","CPRD_AURUM"
"355009014","Removal of ring pessary from vagina","7D1B400","236865002","CPRD_AURUM"
"375351014","Cystocele","K519.00","252005008","CPRD_AURUM"
"397858018","H/O: genital prolapse","1594.00","267018007","CPRD_AURUM"
"458854012","Anterior mesh vaginal repair","7D18500","314487008","CPRD_AURUM"
"475586011","Anterior and posterior repair","7D18011","13910004","CPRD_AURUM"
"482042011","Removal of supporting pessary from vagina","7D1B200","24893009","CPRD_AURUM"
"482074016","Descens uteri","K511.11","24976005","CPRD_AURUM"
"492278013","Anterior repair","7D18111","39845007","CPRD_AURUM"
"1231269014","Urethrocele without uterine prolapse","K510300","53944005","CPRD_AURUM"
"1777629012","Vaginal enterocele","K516.00","398061002","CPRD_AURUM"
"2162087010","Prolapsed urethral mucosa","K195.00","12068006","CPRD_AURUM"
"2476660012","Vaginal wall prolapse without uterine prolapse","K510.00","354737001","CPRD_AURUM"
"2532948010","Cystocele with third degree uterine prolapse","K513000","413940003","CPRD_AURUM"
"2534194013","Cystocele with second degree uterine prolapse","K512100","413939000","CPRD_AURUM"
"2674349017","Repair of vault of vagina with mesh using vaginal approach","7D19700","426193005","CPRD_AURUM"
"491011000000117","Posterior colporrhaphy with mesh reinforcement","7D18800","429574002","CPRD_AURUM"
"869681000006115","Vaginal repair operation","7D18.99","238034001","CPRD_AURUM"
"887241000006117","Rectocele- no uterine prolapse","K510299","62730001","CPRD_AURUM"
"887251000006115","Uterine prol. vag. wall intact","K511.99","11597004","CPRD_AURUM"
"887261000006118","Uterovaginal prolapse -partial","K512.99","198268002","CPRD_AURUM"
"887271000006113","Uterovaginal prolapse-complete","K513.99","63871009","CPRD_AURUM"
