"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"211","Cystocele without uterine prolapse","K510000","","CPRD_GOLD"
"631","Anterior repair","7D18111","","CPRD_GOLD"
"826","Insertion of ring into vagina","7D1B100","","CPRD_GOLD"
"1057","Uterovaginal prolapse, unspecified","K514.00","","CPRD_GOLD"
"1345","Uterine prolapse without vaginal wall prolapse","K511.00","","CPRD_GOLD"
"1504","Other repair of vagina NOS","7D1Az00","","CPRD_GOLD"
"1652","Suspension of vagina NEC","7D19400","","CPRD_GOLD"
"1750","Introduction of supporting pessary into vagina","7D1B.00","","CPRD_GOLD"
"1903","Vaginal wall prolapse without uterine prolapse","K510.00","","CPRD_GOLD"
"2060","Anterior and posterior repair","7D18011","","CPRD_GOLD"
"2285","Rectocele without uterine prolapse","K510200","","CPRD_GOLD"
"2286","Colporrhaphy","7D18.11","","CPRD_GOLD"
"2287","Posterior repair","7D18211","","CPRD_GOLD"
"2447","Anterior colporrhaphy NEC","7D18100","","CPRD_GOLD"
"2576","Removal of supporting pessary from vagina","7D1B200","","CPRD_GOLD"
"2846","Vaginal enterocele","K516.00","","CPRD_GOLD"
"3145","Posterior colporrhaphy NEC","7D18200","","CPRD_GOLD"
"3271","Pelvic floor repair","7D18.13","","CPRD_GOLD"
"3413","Other repair of vagina","7D1A.00","","CPRD_GOLD"
"3420","Repair of enterocele NEC","7D18300","","CPRD_GOLD"
"3986","Procidentia - uterine","K513.11","","CPRD_GOLD"
"4163","Introduction of supporting pessary into vagina OS","7D1By00","","CPRD_GOLD"
"4233","Fothergill anterior colporrhaphy and amputation of cervix","7D17111","","CPRD_GOLD"
"4575","Urethrocele without uterine prolapse","K510300","","CPRD_GOLD"
"5004","Colpoperineorrhaphy","7D1A411","","CPRD_GOLD"
"5351","Insertion of Hodge pessary into vagina","7D1B000","","CPRD_GOLD"
"5669","Manchester repair","7D17z11","","CPRD_GOLD"
"6819","Genital prolapse","K51..00","","CPRD_GOLD"
"6882","Second degree uterine prolapse","K511100","","CPRD_GOLD"
"7175","Problem with vaginal pessary","SP07900","","CPRD_GOLD"
"7870","Uterovaginal prolapse, incomplete","K512.00","","CPRD_GOLD"
"7919","Ant and post colporrhaphy and amputation of cervix uteri","7D17000","","CPRD_GOLD"
"8083","Other specified other repair of vagina","7D1Ay00","","CPRD_GOLD"
"9071","Change of vaginal pessary","7D1B300","","CPRD_GOLD"
"9356","Uterovaginal prolapse, complete","K513.00","","CPRD_GOLD"
"9803","H/O: genital prolapse","1594.00","","CPRD_GOLD"
"10888","Post hysterectomy vaginal vault prolapse","K515.00","","CPRD_GOLD"
"11151","Pelvic floor repair operation","7D18.12","","CPRD_GOLD"
"11863","Other repair of vaginal prolapse","7D18.00","","CPRD_GOLD"
"12255","Removal of ring pessary from vagina","7D1B400","","CPRD_GOLD"
"12359","Cystocele with second degree uterine prolapse","K512100","","CPRD_GOLD"
"12845","Cystocele with unspecified uterine prolapse","K514000","","CPRD_GOLD"
"14872","Introduction of supporting pessary into vagina NOS","7D1Bz00","","CPRD_GOLD"
"15703","Repair of vaginal prolapse & amputation of cervix uteri NOS","7D17z00","","CPRD_GOLD"
"16175","Sacrocolpopexy","7D19300","","CPRD_GOLD"
"16981","Urethrocele","K195.11","","CPRD_GOLD"
"17020","Repair of vault of vagina","7D19.00","","CPRD_GOLD"
"17481","Vaginal prolapse without uterine prolapse NOS","K510z00","","CPRD_GOLD"
"18606","Other specified other repair of vaginal prolapse","7D18y00","","CPRD_GOLD"
"18931","Sacrospinous fixation of vaginal vault","7D19500","","CPRD_GOLD"
"19050","Anterior and posterior colporrhaphy NEC","7D18000","","CPRD_GOLD"
"20632","Posterior colporrhaphy and amputation of cervix uteri NEC","7D17200","","CPRD_GOLD"
"21695","Colporrhaphy and amputation of cervix uteri","7D17.11","","CPRD_GOLD"
"22659","Vaginal prolapse unspecified without uterine prolapse","K510400","","CPRD_GOLD"
"22757","First degree uterine prolapse","K511000","","CPRD_GOLD"
"23941","Other genital prolapse","K51y.00","","CPRD_GOLD"
"24299","Descens uteri","K511.11","","CPRD_GOLD"
"25278","Cystourethrocele without uterine prolapse","K510100","","CPRD_GOLD"
"25974","Cystocele with third degree uterine prolapse","K513000","","CPRD_GOLD"
"27604","Other specified repair of vault of vagina","7D19y00","","CPRD_GOLD"
"28040","Other repair of vaginal prolapse NOS","7D18z00","","CPRD_GOLD"
"28602","Repair of vaginal prolapse and amputation of cervix uteri","7D17.00","","CPRD_GOLD"
"30419","Cystocele with first degree uterine prolapse","K512000","","CPRD_GOLD"
"33440","Genital prolapse NOS","K51z.00","","CPRD_GOLD"
"33955","Anterior colporrhaphy and amputation of cervix uteri NEC","7D17100","","CPRD_GOLD"
"37274","Colporrhaphy NEC","7D18400","","CPRD_GOLD"
"37185","Uterine prolapse without vaginal wall prolapse NOS","K511z00","","CPRD_GOLD"
"37790","Third degree uterine prolapse","K511200","","CPRD_GOLD"
"37918","Proctocele without uterine prolapse","K510211","","CPRD_GOLD"
"41136","Acquired vaginal enterocele","K516100","","CPRD_GOLD"
"41895","Other genital prolapse NOS","K51yz00","","CPRD_GOLD"
"42057","Vaginal enterocele NOS","K516z00","","CPRD_GOLD"
"44748","Anterior mesh vaginal repair","7D18500","","CPRD_GOLD"
"46339","Repair of vault of vagina with mesh using vaginal approach","7D19700","","CPRD_GOLD"
"48218","Repair of vault of vagina NOS","7D19z00","","CPRD_GOLD"
"52417","Repair of vault of vagina using abdominal approach NEC","7D19100","","CPRD_GOLD"
"57237","Repair of vault of vagina using vaginal approach NEC","7D19200","","CPRD_GOLD"
"66379","Repair vaginal vault combined abdominal & vaginal approach","7D19000","","CPRD_GOLD"
"67132","Moschowitz repair of enterocele","7D18312","","CPRD_GOLD"
"69708","Repair of vaginal prolapse & amputation of cervix uteri OS","7D17y00","","CPRD_GOLD"
"72070","McCall repair of enterocele","7D18311","","CPRD_GOLD"
"73219","Pelvic enterocele","K516.11","","CPRD_GOLD"
"83479","Insertion of ring pessary into vagina","7D1B600","","CPRD_GOLD"
"83494","Renewal of supporting pessary in vagina","7D1B500","","CPRD_GOLD"
"84375","Posterior colporrhaphy with mesh reinforcement","7D18800","","CPRD_GOLD"
"89708","Anterior colporrhaphy with mesh reinforcement","7D18700","","CPRD_GOLD"
"89963","Paravaginal repair","7D18600","","CPRD_GOLD"
"96345","Repair of vault of vagina with mesh using abdominal approach","7D19600","","CPRD_GOLD"
"96896","Female rectocele","K518.00","","CPRD_GOLD"
"97649","[X]Other female genital prolapse","Kyu9100","","CPRD_GOLD"
"102644","Sacrohysteropexy","7E28700","","CPRD_GOLD"
"105178","Cystocele","K519.00","","CPRD_GOLD"
"108459","Sacrospinous cervicopexy","7E03600","","CPRD_GOLD"
"111869","Zacharin repair of vaginal vault","7D19011","","CPRD_GOLD"
