"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"N81","Female genital prolapse","N81","","ICD10"
"N810","Female urethrocele","N81.0","","ICD10"
"N811","Cystocele","N81.1","","ICD10"
"N812","Incomplete uterovaginal prolapse","N81.2","","ICD10"
"N813","Complete uterovaginal prolapse","N81.3","","ICD10"
"N814","Uterovaginal prolapse, unspecified","N81.4","","ICD10"
"N815","Vaginal enterocele","N81.5","","ICD10"
"N816","Rectocele","N81.6","","ICD10"
"N818","Other female genital prolapse","N81.8","","ICD10"
"N819","Female genital prolapse, unspecified","N81.9","","ICD10"
"N993","Prolapse of vaginal vault after hysterectomy","N99.3","","ICD10"
