"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"45005010","Female infertility of uterine origin","K5B3.00","26899006","CPRD_AURUM"
"45222017","Fertility problem","1AZ2.00","27034006","CPRD_AURUM"
"66155016","Female infertility of tubal origin","K5B2.00","39446004","CPRD_AURUM"
"89449014","Infertility due to radiation","K26y300","53821008","CPRD_AURUM"
"252120016","H/O: infertility - female","1597.00","161798008","CPRD_AURUM"
"252121017","H/O: female infertility","1597.11","161798008","CPRD_AURUM"
"263130015","A/N care: H/O infertility","6242.00","169589005","CPRD_AURUM"
"282947017","Female infertility therapy","8C82.00","183036001","CPRD_AURUM"
"284068019","Referral to fertility clinic","8HTB.00","183862006","CPRD_AURUM"
"285269014","Seen in fertility clinic","9N07.00","185268003","CPRD_AURUM"
"305102011","Primary anovulatory infertility","K5B0000","198445009","CPRD_AURUM"
"305106014","Primary pituitary - hypothalamic infertility","K5B1000","198449003","CPRD_AURUM"
"305109019","Primary tubal infertility","K5B2000","198452006","CPRD_AURUM"
"305110012","Secondary tubal infertility","K5B2100","198453001","CPRD_AURUM"
"305113014","Primary uterine infertility","K5B3000","198456009","CPRD_AURUM"
"305114015","Secondary uterine infertility","K5B3100","198457000","CPRD_AURUM"
"305117010","Secondary cervical infertility","K5B4100","198460007","CPRD_AURUM"
"305123017","Secondary vaginal infertility","K5B5100","198465002","CPRD_AURUM"
"396795017","Female infertility of anovulatory origin","K5B0.00","266609001","CPRD_AURUM"
"401550012","Fertility counselling","6778.11","268534003","CPRD_AURUM"
"1483150015","Infertility care","8Cf..00","389094009","CPRD_AURUM"
"887591000006112","Female infert.- tubal","K5B2.99","39446004","CPRD_AURUM"
"887601000006116","Female infert.- uterine","K5B3.99","26899006","CPRD_AURUM"
"923761000006119","Procreat/ fertility counselling","","923761000006103","CPRD_AURUM"
"1748631000006119","Referral to fertility awareness counselling service","","1748631000006103","CPRD_AURUM"
"274140014","Fertility investigation of female NEC","7E29000","252936002","CPRD_AURUM"
"305104012","Female infertility of anovulatory origin NOS","K5B0z00","237139007","CPRD_AURUM"
"305112016","Female infertility of tubal origin NOS","K5B2z00","39446004","CPRD_AURUM"
"305126013","Other female infertility","K5By.00","6738008","CPRD_AURUM"
"305127016","Primary infertility unspecified","K5By000","297106006","CPRD_AURUM"
"305128014","Secondary infertility unspecified","K5By100","30238006","CPRD_AURUM"
"305133013","Female infertility NOS","K5Bz.00","6738008","CPRD_AURUM"
"305263011","[X]Female infertility of other origin","Kyu9G00","6738008","CPRD_AURUM"
"396798015","Other female infertility NOS","K5Byz00","6738008","CPRD_AURUM"
"12167015","Female infertility","K5B..99","6738008","CPRD_AURUM"
"86791000006115","Treatment for infertility","8C8..00","65046005","CPRD_AURUM"
"153731000006114","Seen in fertility clinic","9N1y600","185268003","CPRD_AURUM"
"779131000006119","Infertility - female","K5B..00","6738008","CPRD_AURUM"
"779211000006119","Infertility investigation -fem","3189.11","252936002","CPRD_AURUM"
"3372671000006113","Infertility caused by radiation","","53821008","CPRD_AURUM"
"5323441000006116","Investigations for female fertility","","252936002","CPRD_AURUM"
"5103791000006117","Female infertility due to ovulatory disorder","","237139007","CPRD_AURUM"
"8017351000006119","Counselling for infertility done","","46131000119108","CPRD_AURUM"
"4544241000006113","History of - infertility - female","","161798008","CPRD_AURUM"
