"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1154","Infertility investigations NOS","3189.00","","CPRD_GOLD"
"1808","Infertility - female","K5B..00","","CPRD_GOLD"
"1810","Treatment for infertility","8C8..00","","CPRD_GOLD"
"1943","Secondary infertility unspecified","K5By100","","CPRD_GOLD"
"2014","Primary infertility unspecified","K5By000","","CPRD_GOLD"
"2548","Procreat/fertility counselling","6778.00","","CPRD_GOLD"
"2949","Seen in fertility clinic","9N1y600","","CPRD_GOLD"
"2957","Infertility problem","1AZ2.11","","CPRD_GOLD"
"4571","Seen in fertility clinic","9N07.00","","CPRD_GOLD"
"4977","Female infertility of anovulatory origin","K5B0.00","","CPRD_GOLD"
"5239","Referral to fertility clinic","8HTB.00","","CPRD_GOLD"
"7351","Fertility problem","1AZ2.00","","CPRD_GOLD"
"9036","Fertility counselling","6778.11","","CPRD_GOLD"
"9133","Fertility investigation of female NEC","7E29000","","CPRD_GOLD"
"9983","Treatment for infertility NOS","8C8Z.00","","CPRD_GOLD"
"16131","Infertility investigation -fem","3189.11","","CPRD_GOLD"
"16376","H/O: infertility - female","1597.00","","CPRD_GOLD"
"25077","Female infertility of tubal origin NOS","K5B2z00","","CPRD_GOLD"
"25361","Fertility counselling","Z4P1.00","","CPRD_GOLD"
"26088","[V]Infertility investigation and testing","ZV26200","","CPRD_GOLD"
"30392","Female infertility NOS","K5Bz.00","","CPRD_GOLD"
"32199","H/O: female infertility","1597.11","","CPRD_GOLD"
"33458","Female infertility therapy","8C82.00","","CPRD_GOLD"
"35074","Female infertility of tubal origin","K5B2.00","","CPRD_GOLD"
"36458","Other female infertility","K5By.00","","CPRD_GOLD"
"37047","A/N care: H/O infertility","6242.00","","CPRD_GOLD"
"39295","[V]Infertility general advice and counselling","ZV26400","","CPRD_GOLD"
"40072","Infertility studies","4Z0..00","","CPRD_GOLD"
"45985","Secondary tubal infertility","K5B2100","","CPRD_GOLD"
"48461","Female infertility of vaginal origin","K5B5.00","","CPRD_GOLD"
"50116","Secondary anovulatory infertility","K5B0100","","CPRD_GOLD"
"52132","Primary anovulatory infertility","K5B0000","","CPRD_GOLD"
"53018","Other female infertility NOS","K5Byz00","","CPRD_GOLD"
"60861","Primary tubal infertility","K5B2000","","CPRD_GOLD"
"61299","Female infertility of uterine origin","K5B3.00","","CPRD_GOLD"
"62084","Female infertility of pituitary - hypothalamic cause NOS","K5B1z00","","CPRD_GOLD"
"62698","Female infertility of cervical origin","K5B4.00","","CPRD_GOLD"
"63421","Female infertility of anovulatory origin NOS","K5B0z00","","CPRD_GOLD"
"68664","Female infertility of uterine origin NOS","K5B3z00","","CPRD_GOLD"
"69324","Secondary cervical infertility","K5B4100","","CPRD_GOLD"
"69884","Female infertility of pituitary - hypothalamic origin","K5B1.00","","CPRD_GOLD"
"73151","Secondary uterine infertility","K5B3100","","CPRD_GOLD"
"91280","Primary uterine infertility","K5B3000","","CPRD_GOLD"
"94448","Primary pituitary - hypothalamic infertility","K5B1000","","CPRD_GOLD"
"96463","Secondary vaginal infertility","K5B5100","","CPRD_GOLD"
"97461","Primary cervical infertility","K5B4000","","CPRD_GOLD"
"99069","[X]Female infertility of other origin","Kyu9G00","","CPRD_GOLD"
"99535","Secondary pituitary - hypothalamic infertility","K5B1100","","CPRD_GOLD"
"101598","Infertility due to radiation","K26y300","","CPRD_GOLD"
"102589","Infertility care","8Cf..00","","CPRD_GOLD"
"104569","Female infertility due to diminished ovarian reserve","K5B7.00","","CPRD_GOLD"
"108577","Infertility in systemic disease","K26y400","","CPRD_GOLD"
"111013","Female infertility of vaginal origin NOS","K5B5z00","","CPRD_GOLD"
"111102","Primary vaginal infertility","K5B5000","","CPRD_GOLD"
"113724","Infertility due to drug therapy","K26y000","","CPRD_GOLD"
