"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"305716013","Antepartum haemorrhage with uterine leiomyoma","L115.00","198925006","CPRD_AURUM"
"305717016","Antepartum haemorrhage with fibroid","L115.11","198925006","CPRD_AURUM"
"305718014","Antepartum haemorrhage with uterine fibroid","L115.12","198925006","CPRD_AURUM"
"305722016","Antepartum haemorrhage with uterine leiomyoma - delivered","L115100","198927003","CPRD_AURUM"
"355076018","Endoscopic myomectomy","7E0D012","236901008","CPRD_AURUM"
"355077010","Vaginal myomectomy","7E06y11","236902001","CPRD_AURUM"
"355535015","Uterine fibroid - baby delivered","L241111","237215008","CPRD_AURUM"
"355536019","Uterine fibroid affecting obstetric care","L241011","237216009","CPRD_AURUM"
"393628014","Open myomectomy","7E06100","265059000","CPRD_AURUM"
"397861017","H/O: myomectomy/hysterotomy","15A9.00","267021009","CPRD_AURUM"
"411570011","H/O: myomectomy","15A9.12","275574006","CPRD_AURUM"
"493184012","Myomectomy","7E0D013","42010004","CPRD_AURUM"
"512055011","Uterine fibroids","B78..99","95315005","CPRD_AURUM"
"1235896013","Submucous uterine leiomyoma","B780.00","95279007","CPRD_AURUM"
"1235899018","Subserous uterine leiomyoma","B782.00","95280005","CPRD_AURUM"
"543391000000111","Transcervical resection of fibroid","7E0DC00","428652006","CPRD_AURUM"
"906471000006118","[RFC] Myomectomy","","906471000006102","CPRD_AURUM"
"1699581000006114","Embolisation of uterine fibroid using fluoroscopic guidance","","1699581000006105","CPRD_AURUM"
"71351000006110","Uterine fibroid complicating a/n care, baby not delivered","L241311","237213001","CPRD_AURUM"
"71361000006112","Uterine fibroid complicating p/n care - baby delivered prev","L241411","237212006","CPRD_AURUM"
"308231000006113","[M]Epithelioid leiomyoma","BBK0300","19071004","CPRD_AURUM"
"308531000006111","[M]Fibroid uterus","BBK0011","95315005","CPRD_AURUM"
"485941000006114","Antepartum haemorrhage with uterine leiomyoma - not deliv","L115200","198928008","CPRD_AURUM"
"1714901000006116","Perc embolisation of uterine fibroid using fluoroscopic guid","7A54A00","443462004","CPRD_AURUM"
"310901000006111","[M]Leiomyofibroma","BBK0013","146801000119103","CPRD_AURUM"
"313431000006115","[M]Myofibroma","BBK0014","128917003","CPRD_AURUM"
"7091641000006114","Transcervical resection of leiomyoma of uterus","","428652006","CPRD_AURUM"
"3218931000006118","Leiomyoma, no International Classification of Diseases for Oncology subtype","","44598004","CPRD_AURUM"
