"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"432","Fibroids","B78..11","","CPRD_GOLD"
"759","Uterine leiomyoma - fibroids","B78..00","","CPRD_GOLD"
"2517","Open myomectomy","7E06100","","CPRD_GOLD"
"3402","Uterine leiomyoma NOS","B78z.00","","CPRD_GOLD"
"4117","Excision fibroid","7E06111","","CPRD_GOLD"
"5021","Vaginal myomectomy","7E06y11","","CPRD_GOLD"
"5562","H/O: myomectomy","15A9.12","","CPRD_GOLD"
"8655","[M]Fibroid uterus","BBK0011","","CPRD_GOLD"
"12512","Intramural uterine leiomyoma","B781.00","","CPRD_GOLD"
"20349","Myomectomy","7E0D013","","CPRD_GOLD"
"20401","Uterine fibroid complicating a/n care, baby not delivered","L241311","","CPRD_GOLD"
"20655","Myomectomy","7E06112","","CPRD_GOLD"
"20826","Uterine fibroid affecting obstetric care","L241011","","CPRD_GOLD"
"21255","Endoscopic myomectomy","7E0D012","","CPRD_GOLD"
"22195","[M]Fibromyoma","BBK0012","","CPRD_GOLD"
"24300","Hysteroscopic myomectomy","7E0D015","","CPRD_GOLD"
"24308","[M]Leiomyofibroma","BBK0013","","CPRD_GOLD"
"28324","[M]Leiomyoma NOS","BBK0000","","CPRD_GOLD"
"32719","Submucous uterine leiomyoma","B780.00","","CPRD_GOLD"
"39743","[M]Myofibroma","BBK0014","","CPRD_GOLD"
"40581","Uterine fibroid - baby delivered","L241111","","CPRD_GOLD"
"41134","Subserous uterine leiomyoma","B782.00","","CPRD_GOLD"
"45242","Uterine fibroids in pregnancy, childbirth and the puerperium","L241.11","","CPRD_GOLD"
"47130","H/O: myomectomy/hysterotomy","15A9.00","","CPRD_GOLD"
"51639","Uterine fibroid in pregnancy/childbirth/puerperium NOS","L241z11","","CPRD_GOLD"
"55349","Mural fibroids","B781.11","","CPRD_GOLD"
"60741","Antepartum haemorrhage with uterine fibroid","L115.12","","CPRD_GOLD"
"60744","Antepartum haemorrhage with fibroid","L115.11","","CPRD_GOLD"
"61105","[M]Cellular leiomyoma","BBK0500","","CPRD_GOLD"
"61404","[M]Epithelioid leiomyoma","BBK0300","","CPRD_GOLD"
"71155","Antepartum haemorrhage with uterine leiomyoma","L115.00","","CPRD_GOLD"
"85204","Antepartum haemorrhage with uterine leiomyoma - delivered","L115100","","CPRD_GOLD"
"93437","Transcervical resection of fibroid","7E0DC00","","CPRD_GOLD"
"98291","Perc embolisation of uterine fibroid using fluoroscopic guid","7A54A00","","CPRD_GOLD"
"103810","Antepartum haemorrhage with uterine leiomyoma NOS","L115z00","","CPRD_GOLD"
"105777","Uterine fibroid complicating p/n care - baby delivered prev","L241411","","CPRD_GOLD"
"114562","Antepartum haemorrhage with uterine leiomyoma unspecified","L115000","","CPRD_GOLD"
