"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"63341012","Gallstone ileus","J503000","37976006","CPRD_AURUM"
"353697015","Gallstone chronic pancreatitis","J671100","235951009","CPRD_AURUM"
"396396018","Cholelithiasis","J64..00","266474003","CPRD_AURUM"
"396398017","Stone - biliary","J64..16","266474003","CPRD_AURUM"
"1231999012","Gallbladder calculus with acute cholecystitis","J640.00","59771005","CPRD_AURUM"
"2693589010","Open cholelithotomy","7813012","265446003","CPRD_AURUM"
"864651000006110","Choledocholithotomy","7826099","174582000","CPRD_AURUM"
"886541000006118","Calculus of gall bladder","J64..99","266474003","CPRD_AURUM"
"303544014","Gallbladder calculus with other cholecystitis","J641.00","25924004","CPRD_AURUM"
"303548012","Gallbladder calculus without mention of cholecystitis","J642.11","235919008","CPRD_AURUM"
"303557018","Bile duct calculus with other cholecystitis","J644.00","30093007","CPRD_AURUM"
"303569014","Cholelithiasis NOS","J64zz00","266474003","CPRD_AURUM"
"303570010","Cholelithiasis without obstruction NOS","J64z000","70342003","CPRD_AURUM"
"303571014","Cholelithiasis with obstruction NOS","J64z100","77528005","CPRD_AURUM"
"303789013","[X]Other cholelithiasis","Jyu8000","266474003","CPRD_AURUM"
"270801000006117","O/E: cholesterol gall stone","4G21.00","168037002","CPRD_AURUM"
"270901000006111","O/E: gall stone","4G2..00","168036006","CPRD_AURUM"
"270911000006114","O/E: gall stone NOS","4G2Z.00","168036006","CPRD_AURUM"
"271011000006117","O/E: pigment gall stone","4G22.00","168038007","CPRD_AURUM"
"511631000006119","Bile duct calculus + acute cholecystitis - obstruct NOS","J643z00","197389006","CPRD_AURUM"
"511641000006112","Bile duct calculus + acute cholecystitis and no obstruction","J643000","197390002","CPRD_AURUM"
"511651000006114","Bile duct calculus + acute cholecystitis and obstruction","J643100","197391003","CPRD_AURUM"
"511661000006111","Bile duct calculus + other cholecystitis - obstruction NOS","J644z00","30093007","CPRD_AURUM"
"511671000006116","Bile duct calculus + other cholecystitis and no obstruction","J644000","30093007","CPRD_AURUM"
"511681000006118","Bile duct calculus + other cholecystitis and obstruction","J644100","30093007","CPRD_AURUM"
"511721000006113","Bile duct calculus without cholecystitis NOS","J645z00","30093007","CPRD_AURUM"
"511731000006111","Bile duct calculus without cholecystitis with obstruction","J645100","4661003","CPRD_AURUM"
"519151000006119","Bobb cholelithotomy","7813011","265446003","CPRD_AURUM"
