"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"760","Gallstones","J64..15","","CPRD_GOLD"
"3599","Cholelithiasis","J64..00","","CPRD_GOLD"
"4416","Gallbladder calculus without mention of cholecystitis","J642.11","","CPRD_GOLD"
"4429","O/E: gall stone","4G2..00","","CPRD_GOLD"
"8620","Gallbladder calculus","J64..14","","CPRD_GOLD"
"8723","Bile duct calculus NOS","J645200","","CPRD_GOLD"
"12140","H/O: gall stones","14CE.00","","CPRD_GOLD"
"12316","Gallstone acute pancreatitis","J670500","","CPRD_GOLD"
"12438","Gallbladder calculus without mention of cholecystitis","J642.00","","CPRD_GOLD"
"15181","Choledocholithiasis","J645.11","","CPRD_GOLD"
"15602","Gallbladder calculus without cholecystitis and obstruct NOS","J642z00","","CPRD_GOLD"
"17323","Stone - biliary","J64..16","","CPRD_GOLD"
"17590","Choledocholithotomy NEC","7826111","","CPRD_GOLD"
"17959","Enterotomy and removal of gallstone","7648700","","CPRD_GOLD"
"22697","Bile duct calculus without mention of cholecystitis","J645.00","","CPRD_GOLD"
"23626","Open cholelithotomy","7813012","","CPRD_GOLD"
"24866","Calculus of bile duct with cholangitis","J646.00","","CPRD_GOLD"
"26889","Bile duct calculus with other cholecystitis","J644.00","","CPRD_GOLD"
"27437","Cholelithiasis NOS","J64z.00","","CPRD_GOLD"
"29142","Bile duct calculus","J64..11","","CPRD_GOLD"
"29663","Gallstone ileus","J503000","","CPRD_GOLD"
"31650","Bile duct calculus + acute cholecystitis and obstruction","J643100","","CPRD_GOLD"
"34063","Cholelithiasis NOS","J64zz00","","CPRD_GOLD"
"34683","Bile duct calculus with acute cholecystitis","J643.00","","CPRD_GOLD"
"35046","Gallbladder calculus with acute cholecystitis","J640.00","","CPRD_GOLD"
"35469","Cystic duct calculus","J64..13","","CPRD_GOLD"
"36879","Bile duct calculus without cholecystitis with obstruction","J645100","","CPRD_GOLD"
"39025","Bile duct calculus + acute cholecystitis and no obstruction","J643000","","CPRD_GOLD"
"40075","Calculus - biliary","J64..12","","CPRD_GOLD"
"42278","Gallstone chronic pancreatitis","J671100","","CPRD_GOLD"
"42694","O/E: gall stone NOS","4G2Z.00","","CPRD_GOLD"
"44649","Bile duct calculus + other cholecystitis and obstruction","J644100","","CPRD_GOLD"
"45836","O/E: pigment gall stone","4G22.00","","CPRD_GOLD"
"47536","Gallbladder calculus with other cholecystitis + obstruct","J641100","","CPRD_GOLD"
"47888","Cholelithiasis without obstruction NOS","J64z000","","CPRD_GOLD"
"48587","Gallbladder calculus with acute cholecystitis + obstruction","J640100","","CPRD_GOLD"
"49106","Gallbladder calculus with other cholecystitis","J641.00","","CPRD_GOLD"
"49202","Gallbladder calculus with other cholecystitis +no obstruct","J641000","","CPRD_GOLD"
"54853","Gallbladder calculus without mention cholecystitis +no obstr","J642000","","CPRD_GOLD"
"61298","Bile duct calculus + other cholecystitis - obstruction NOS","J644z00","","CPRD_GOLD"
"61367","Gallbladder calculus without mention cholecystitis + obstruc","J642100","","CPRD_GOLD"
"61996","O/E: cholesterol gall stone","4G21.00","","CPRD_GOLD"
"62988","Cholelithiasis with obstruction NOS","J64z100","","CPRD_GOLD"
"63208","Gallbladder calculus with acute cholecystitis +no obstruct","J640000","","CPRD_GOLD"
"64132","Gallbladder calculus with acute cholecystitis - obst NOS","J640z00","","CPRD_GOLD"
"66713","Bile duct calculus without cholecystitis, no obstruction","J645000","","CPRD_GOLD"
"69721","Bile duct calculus without cholecystitis NOS","J645z00","","CPRD_GOLD"
"71134","Gallbladder calculus with other cholecystitis - obstruct NOS","J641z00","","CPRD_GOLD"
"74901","Endoscopic retrograde lithotripsy of calculus of bile duct","7.82E+202","","CPRD_GOLD"
"94302","Faeces: gall stones present","4775.00","","CPRD_GOLD"
"95115","Bobb cholelithotomy","7813011","","CPRD_GOLD"
"96679","Bile duct calculus + acute cholecystitis - obstruct NOS","J643z00","","CPRD_GOLD"
"96795","[X]Other cholelithiasis","Jyu8000","","CPRD_GOLD"
"107004","Bile duct calculus + other cholecystitis and no obstruction","J644000","","CPRD_GOLD"
"109379","On gallstone care pathway","8CMWD00","","CPRD_GOLD"
