"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"49080014","Ectopic hyperparathyroidism","C1z3100","29326002","CPRD_AURUM"
"60663012","Primary hyperparathyroidism","C120000","36348003","CPRD_AURUM"
"111289013","Hyperparathyroidism","C120.00","66999008","CPRD_AURUM"
"129770011","Tertiary hyperparathyroidism","C120200","78200003","CPRD_AURUM"
"140466019","Osteitis fibrosa cystica","C120111","84727000","CPRD_AURUM"
"151534010","Secondary hyperparathyroidism","K08y100","91478007","CPRD_AURUM"
"312190010","Brown tumour of hyperparathyroidism","N332500","203471008","CPRD_AURUM"
"293766019","[X]Other hyperparathyroidism","Cyu4100","66999008","CPRD_AURUM"
"830981000006111","Hyperparathyroid bone disease","C120100","84727000","CPRD_AURUM"
"3589411000006119","HPTH - Hyperparathyroidism","","66999008","CPRD_AURUM"
"3878061000006112","Brown tumor","","84727000","CPRD_AURUM"
"4821071000006111","Brown tumor of hyperparathyroidism","","203471008","CPRD_AURUM"
"41211000006118","Osteitis fibrosa cystica","C120.11","84727000","CPRD_AURUM"
"11926961000006110","Hyperparathyroid bone disease","","203471008","CPRD_AURUM"
"3878121000006117","Brown tumour","","84727000","CPRD_AURUM"
