"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3559","Hyperparathyroidism","C120.00","","CPRD_GOLD"
"17339","Secondary hyperparathyroidism","K08y100","","CPRD_GOLD"
"18740","Primary hyperparathyroidism","C120000","","CPRD_GOLD"
"19457","Osteitis fibrosa cystica","C120111","","CPRD_GOLD"
"49456","Osteitis fibrosa cystica","C120.11","","CPRD_GOLD"
"53819","[X]Other hyperparathyroidism","Cyu4100","","CPRD_GOLD"
"56524","Brown tumour of hyperparathyroidism","N332500","","CPRD_GOLD"
"65478","Ectopic hyperparathyroidism","C1z3100","","CPRD_GOLD"
"73934","Hyperparathyroid bone disease","C120100","","CPRD_GOLD"
"105537","Tertiary hyperparathyroidism","C120200","","CPRD_GOLD"
