"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"8963013","Lichen planus","M170.00","4776004","CPRD_AURUM"
"308783012","Lichen planus annularis","M170100","201000006","CPRD_AURUM"
"308784018","Lichen planus obtusus","M170700","201001005","CPRD_AURUM"
"308785017","Subacute active lichen planus","M170800","201002003","CPRD_AURUM"
"1224932013","Lichen planus atrophicus","M170200","25858008","CPRD_AURUM"
"1230103010","Lichen planus linearis","M170500","44509000","CPRD_AURUM"
"1232173015","Lichen planus bullosus","M170300","6111009","CPRD_AURUM"
"1675561000006111","Oral lichen planus","","235049008","CPRD_AURUM"
"308787013","Lichen planus NOS","M170z00","4776004","CPRD_AURUM"
"309333012","[X]Other lichen planus","Myu3200","4776004","CPRD_AURUM"
"4806151000006119","Annular lichen planus","","201000006","CPRD_AURUM"
"3217071000006115","Linear lichen planus","","44509000","CPRD_AURUM"
"3549561000006112","Lichen planus follicularis","","64540004","CPRD_AURUM"
"4806121000006111","Actinic lichen planus","","200999007","CPRD_AURUM"
"5074401000006118","OLP - Oral lichen planus","","235049008","CPRD_AURUM"
"2597311000006114","Bullous lichen planus","","6111009","CPRD_AURUM"
"3610721000006118","Hypertrophic lichen planus","","68266006","CPRD_AURUM"
"4806131000006114","Lichen planus subtropicus","","200999007","CPRD_AURUM"
"2575141000006114","Ruber planus","","4776004","CPRD_AURUM"
"2913811000006116","Atrophic lichen planus","","25858008","CPRD_AURUM"
"308780010","Lichen planus actinicus","M170000","200999007","CPRD_AURUM"
"1233028016","Lichen planus hypertrophicus","M170400","68266006","CPRD_AURUM"
"107259017","Lichen planopilaris","M240R00","64540004","CPRD_AURUM"
"763411000006112","Follicular lichen planus","M170900","64540004","CPRD_AURUM"
"2575151000006111","LP - Lichen planus","","4776004","CPRD_AURUM"
"5124731000006114","Lichen planopilaris of scalp","","238655003","CPRD_AURUM"
"5124611000006111","Papular lichen planus","","238647005","CPRD_AURUM"
"7813191000006112","Hypertrophic vulval lichen planus","","721171007","CPRD_AURUM"
"5124631000006117","Post-inflammatory hyperpigmentation in lichen planus","","238649008","CPRD_AURUM"
"5124861000006110","Erosive lichen planus of lips","","238667001","CPRD_AURUM"
"5124891000006119","Lichen planus of penis","","238670002","CPRD_AURUM"
"5124651000006112","Wickham's striae in lichen planus","","238651007","CPRD_AURUM"
"5124721000006111","Lichen planus of scalp","","238655003","CPRD_AURUM"
"5124761000006117","Lichen planus of nail","","238658001","CPRD_AURUM"
"5124841000006111","Lichen planus of tongue","","238665009","CPRD_AURUM"
"5124811000006112","Erosive oral lichen planus","","238662007","CPRD_AURUM"
"7614351000006114","Reticular oral lichen planus","","707249009","CPRD_AURUM"
"5103491000006114","Lichen planus of vulva","","237112004","CPRD_AURUM"
"5124901000006115","Lichen planus of glans penis","","238671003","CPRD_AURUM"
"7756201000006113","Lichen planus pigmentosus","","717061002","CPRD_AURUM"
"5124871000006115","Genital lichen planus","","238668006","CPRD_AURUM"
"5124851000006113","Lichen planus of lips","","238666005","CPRD_AURUM"
"5124671000006119","Lichen planus-lupus erythematosus overlap","","238652000","CPRD_AURUM"
"5124881000006117","Erosive lichen planus of vulva","","238669003","CPRD_AURUM"
