"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1621","Lichen planus","M170.00","","CPRD_GOLD"
"7983","Lichen planus hypertrophicus","M170400","","CPRD_GOLD"
"16628","Lichen planopilaris","M240R00","","CPRD_GOLD"
"18954","Lichen planus atrophicus","M170200","","CPRD_GOLD"
"22154","Lichen planus bullosus","M170300","","CPRD_GOLD"
"38416","Lichen planus NOS","M170z00","","CPRD_GOLD"
"38610","Lichen planus annularis","M170100","","CPRD_GOLD"
"40455","Lichen planus linearis","M170500","","CPRD_GOLD"
"43358","Follicular lichen planus","M170900","","CPRD_GOLD"
"43912","Lichen planus actinicus","M170000","","CPRD_GOLD"
"53843","[X]Other lichen planus","Myu3200","","CPRD_GOLD"
"57469","Subacute active lichen planus","M170800","","CPRD_GOLD"
"67900","Lichen planus obtusus","M170700","","CPRD_GOLD"
