"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"295016017","Obsessional neurosis","E203100","191738003","CPRD_AURUM"
"473423017","Compulsive behaviour","1P3..00","12479006","CPRD_AURUM"
"981121000006116","Purposeless/compulsive activity","","981121000006100","CPRD_AURUM"
"2659531000000114","Signposting to OCD (Obsessive-Compulsive Disorder) Action","","1057321000000101","CPRD_AURUM"
"295017014","Obsessive-compulsive disorder NOS","E203z00","191736004","CPRD_AURUM"
"296251011","[X]Predominantly obsessional thoughts or ruminations","Eu42000","67698009","CPRD_AURUM"
"296252016","[X]Predominantly compulsive acts [obsessional rituals]","Eu42100","67431008","CPRD_AURUM"
"296254015","[X]Other obsessive-compulsive disorders","Eu42y00","191736004","CPRD_AURUM"
"296255019","[X]Obsessive-compulsive disorder, unspecified","Eu42z00","191736004","CPRD_AURUM"
"269821000006113","Obsessive-compulsive disorders","E203.00","191736004","CPRD_AURUM"
"400321000006113","[X]Obsessive - compulsive disorder","Eu42.00","191736004","CPRD_AURUM"
"4764891000006110","Obsessive compulsive neurosis","","191736004","CPRD_AURUM"
"2698651000006111","Obsessive compulsive behaviour","","12479006","CPRD_AURUM"
"3597111000006116","Compulsive ritualistic behavior","","67431008","CPRD_AURUM"
"2659511000000118","Signposting to OCD-UK (Obsessive-Compulsive Disorder-UK)","","1057311000000107","CPRD_AURUM"
"295011010","Anancastic neurosis","E203.11","191736004","CPRD_AURUM"
"400341000006118","[X]Obsessive-compulsive neurosis","Eu42.12","191736004","CPRD_AURUM"
"3600941000006114","Obsessional ruminations","","67698009","CPRD_AURUM"
"4764861000006119","Anankastic neurosis","","191736004","CPRD_AURUM"
"2698661000006113","Obsessive compulsive behavior","","12479006","CPRD_AURUM"
"295015018","Compulsive neurosis","E203000","191737008","CPRD_AURUM"
"296253014","[X]Mixed obsessional thoughts and acts","Eu42200","191736004","CPRD_AURUM"
"3597121000006112","Compulsive ritualistic behaviour","","67431008","CPRD_AURUM"
"4764871000006114","OCD - Obsessive-compulsive disorder","","191736004","CPRD_AURUM"
"2698641000006114","Compulsive behavior","","12479006","CPRD_AURUM"
"500817017","Obsessional thoughts","1Ba0.00","67698009","CPRD_AURUM"
"363211000006112","[X]Anankastic neurosis","Eu42.11","191736004","CPRD_AURUM"
"4764881000006112","Obsessive compulsive disorder","","191736004","CPRD_AURUM"
