"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"396","Osteoarthritis","N05..11","","CPRD_GOLD"
"639","Elbow osteoarthritis NOS","N05z211","","CPRD_GOLD"
"658","Osteoarthritis NOS, of the hand","N05z400","","CPRD_GOLD"
"665","Knee osteoarthritis NOS","N05z611","","CPRD_GOLD"
"1104","Hip osteoarthitis NOS","N053512","","CPRD_GOLD"
"1296","Patellofemoral osteoarthritis","N053611","","CPRD_GOLD"
"1312","Foot osteoarthritis NOS","N05z712","","CPRD_GOLD"
"1509","Joint degeneration","N05z.11","","CPRD_GOLD"
"1959","Thumb osteoarthritis NOS","N05z412","","CPRD_GOLD"
"2209","Hip osteoarthritis NOS","N05z511","","CPRD_GOLD"
"2229","Osteoarthritis NOS, of acromioclavicular joint","N05zB00","","CPRD_GOLD"
"2487","Osteoarthritis NOS, of knee","N05zL00","","CPRD_GOLD"
"3057","Osteoarthritis and allied disorders","N05..00","","CPRD_GOLD"
"3147","Osteoarthritis NOS, of shoulder region","N05z100","","CPRD_GOLD"
"3814","Osteoarthritis NOS, of sternoclavicular joint","N05zA00","","CPRD_GOLD"
"4015","Heberdens' nodes","N050111","","CPRD_GOLD"
"4353","Generalised osteoarthritis - OA","N050.00","","CPRD_GOLD"
"4461","Localised osteoarthritis, unspecified, of the ankle and foot","N053700","","CPRD_GOLD"
"4490","Finger osteoarthritis NOS","N05z411","","CPRD_GOLD"
"4878","Toe osteoarthritis NOS","N05z713","","CPRD_GOLD"
"4967","Osteoarthritis NOS, pelvic region/thigh","N05z500","","CPRD_GOLD"
"5776","Osteoarthritis NOS","N05z.00","","CPRD_GOLD"
"5802","Osteoarthritis NOS, of shoulder","N05z900","","CPRD_GOLD"
"6812","Osteoarthritis NOS, of hip","N05zJ00","","CPRD_GOLD"
"6887","Osteoarthritis NOS, of 1st MTP joint","N05zS00","","CPRD_GOLD"
"7866","Osteoarthritis NOS, of MCP joint","N05zF00","","CPRD_GOLD"
"8202","Osteoarthritis NOS, of ankle","N05zN00","","CPRD_GOLD"
"9010","Osteoarthritis NOS, of lesser MTP joint","N05zT00","","CPRD_GOLD"
"9649","Osteoarthritis NOS, of wrist","N05zE00","","CPRD_GOLD"
"9681","Osteoarthritis NOS, of DIP joint of finger","N05zH00","","CPRD_GOLD"
"9760","H/O: osteoarthritis","14G2.00","","CPRD_GOLD"
"10854","[X]Other primary coxarthrosis","Nyu2100","","CPRD_GOLD"
"11032","Osteoarthritis NOS, of PIP joint of finger","N05zG00","","CPRD_GOLD"
"11256","Secondary multiple arthrosis","N050500","","CPRD_GOLD"
"15052","Osteoarthritis NOS, other specified site","N05z800","","CPRD_GOLD"
"15144","Osteoarthritis NOS, of the lower leg","N05z600","","CPRD_GOLD"
"15206","Wrist osteoarthritis NOS","N05z311","","CPRD_GOLD"
"15441","Localised osteoarthritis, unspecified, of shoulder region","N053100","","CPRD_GOLD"
"15447","Osteoarthritis NOS, of ankle and foot","N05z700","","CPRD_GOLD"
"15839","Localised, primary osteoarthritis of the pelvic region/thigh","N051500","","CPRD_GOLD"
"16242","Localised osteoarthritis, unspecified, of the hand","N053400","","CPRD_GOLD"
"18112","Localised osteoarthritis, unspecified, of other spec site","N053800","","CPRD_GOLD"
"18602","Localised, primary osteoarthritis of elbow","N051F00","","CPRD_GOLD"
"18795","[X]Arthrosis","Nyu2.00","","CPRD_GOLD"
"19713","Osteoarthritis NOS, of elbow","N05zC00","","CPRD_GOLD"
"20472","Localised, primary osteoarthritis of other specified site","N051800","","CPRD_GOLD"
"20626","Localised osteoarthritis, unspecified, pelvic region/thigh","N053500","","CPRD_GOLD"
"20660","Localised, primary osteoarthritis NOS","N051z00","","CPRD_GOLD"
"21159","Localised, primary osteoarthritis of the lower leg","N051600","","CPRD_GOLD"
"21177","Arthrosis of first carpometacarpal joint, unspecified","N053900","","CPRD_GOLD"
"21350","Localised, primary osteoarthritis of the hand","N051400","","CPRD_GOLD"
"21528","Oligoarticular osteoarthritis, unspecified","N054.00","","CPRD_GOLD"
"23638","Localised, secondary osteoarthritis of the hand","N052400","","CPRD_GOLD"
"23646","Primary generalized osteoarthrosis","N050400","","CPRD_GOLD"
"23676","Generalised osteoarthritis of multiple sites","N050200","","CPRD_GOLD"
"24022","Localised, primary osteoarthritis of the shoulder region","N051100","","CPRD_GOLD"
"24079","[X] Unilateral primary gonarthrosis","Nyu2511","","CPRD_GOLD"
"24145","[X] Unilateral secondary gonarthrosis","Nyu2811","","CPRD_GOLD"
"24146","Primary gonarthrosis, bilateral","N051B00","","CPRD_GOLD"
"24152","Osteoarthritis NOS, of the forearm","N05z300","","CPRD_GOLD"
"24217","Localised, primary osteoarthritis of the upper arm","N051200","","CPRD_GOLD"
"24287","Primary coxarthrosis, bilateral","N051900","","CPRD_GOLD"
"24326","[X] Unilateral secondary coxarthrosis","Nyu2E11","","CPRD_GOLD"
"24392","Post-traumatic gonarthrosis, bilateral","N052A00","","CPRD_GOLD"
"24432","Heberden's nodes with arthropathy","N050700","","CPRD_GOLD"
"24958","Localised, primary osteoarthritis of the wrist","N051D00","","CPRD_GOLD"
"25793","Localised, primary osteoarthritis of the ankle and foot","N051700","","CPRD_GOLD"
"27834","Osteoarthritis NOS, of IP joint of toe","N05zU00","","CPRD_GOLD"
"27972","Osteoarthritis NOS","N05zz00","","CPRD_GOLD"
"28908","Localised, primary osteoarthritis of toe","N051E00","","CPRD_GOLD"
"31200","Localised osteoarthritis, unspecified, NOS","N053z00","","CPRD_GOLD"
"32839","Localised, primary osteoarthritis","N051.00","","CPRD_GOLD"
"32891","Localised, secondary osteoarthritis of other specified site","N052800","","CPRD_GOLD"
"33479","Localised, secondary osteoarthritis of the lower leg","N052600","","CPRD_GOLD"
"33574","Localised, secondary osteoarthritis of the shoulder region","N052100","","CPRD_GOLD"
"34023","Osteoarthritis NOS, of sacro-iliac joint","N05zK00","","CPRD_GOLD"
"34035","Localised, secondary osteoarthritis of the ankle and foot","N052700","","CPRD_GOLD"
"34122","Localised osteoarthritis, unspecified","N053.00","","CPRD_GOLD"
"34804","Localised osteoarthritis, unspecified, of the lower leg","N053600","","CPRD_GOLD"
"34806","Localised, primary osteoarthritis of the forearm","N051300","","CPRD_GOLD"
"34867","Generalised osteoarthritis NOS","N050z00","","CPRD_GOLD"
"35527","Osteoarthritis NOS, of unspecified site","N05z000","","CPRD_GOLD"
"36182","Primary arthrosis of first carpometacarpal joints, bilateral","N051C00","","CPRD_GOLD"
"36327","Generalised osteoarthritis of the hand","N050100","","CPRD_GOLD"
"38019","Erosive osteoarthrosis","N050600","","CPRD_GOLD"
"38631","Generalised osteoarthritis of unspecified site","N050000","","CPRD_GOLD"
"40972","Osteoarthritis NOS, of subtalar joint","N05zP00","","CPRD_GOLD"
"41088","Localised, secondary osteoarthritis of the upper arm","N052200","","CPRD_GOLD"
"41090","Oligoarticular osteoarthritis, unspecified, of lower leg","N054600","","CPRD_GOLD"
"41985","Oligoarticular osteoarthritis, unspecified, other spec sites","N054800","","CPRD_GOLD"
"42045","Localised, secondary osteoarthritis","N052.00","","CPRD_GOLD"
"43474","[X]Other primary gonarthrosis","Nyu2500","","CPRD_GOLD"
"44041","Localised, secondary osteoarthritis of pelvic region/thigh","N052500","","CPRD_GOLD"
"45815","Localised, secondary osteoarthritis of the forearm","N052300","","CPRD_GOLD"
"48214","Oligoarticular osteoarthritis, unspec, of unspecified sites","N054000","","CPRD_GOLD"
"49545","Localised osteoarthritis, unspecified, of unspecified site","N053000","","CPRD_GOLD"
"50470","Post-traumatic gonarthrosis, unilateral","N052C00","","CPRD_GOLD"
"50848","Osteoarthritis NOS, of the upper arm","N05z200","","CPRD_GOLD"
"51360","[X]Other specified arthrosis","Nyu2D00","","CPRD_GOLD"
"52095","Oligoarticular osteoarthritis, unspecified, of shoulder","N054100","","CPRD_GOLD"
"52897","Ankle osteoarthritis NOS","N05z711","","CPRD_GOLD"
"53741","[X]Other polyarthrosis","Nyu2000","","CPRD_GOLD"
"53858","Osteoarthritis of more than one site, unspecified, NOS","N054z00","","CPRD_GOLD"
"54224","Localised, primary osteoarthritis of unspecified site","N051000","","CPRD_GOLD"
"54350","Osteoarthritis NOS, of other tarsal joint","N05zR00","","CPRD_GOLD"
"55388","Osteoarthritis NOS, of talonavicular joint","N05zQ00","","CPRD_GOLD"
"57267","Oligoarticular osteoarthritis, unspecified, multiple sites","N054900","","CPRD_GOLD"
"57912","Localised, secondary osteoarthritis NOS","N052z00","","CPRD_GOLD"
"59616","Oligoarticular osteoarthritis, unspecified, of hand","N054400","","CPRD_GOLD"
"59637","Localised osteoarthritis, unspecified, of the upper arm","N053200","","CPRD_GOLD"
"60183","Post-traumatic arthrosis of first carpometacarpal jt bilat","N052B00","","CPRD_GOLD"
"60537","Localised osteoarthritis, unspecified, of the forearm","N053300","","CPRD_GOLD"
"64503","Post-traumatic coxarthrosis, bilateral","N052900","","CPRD_GOLD"
"65748","Osteoarthritis NOS, of distal radio-ulnar joint","N05zD00","","CPRD_GOLD"
"67336","[X]Post-traumatic arthrosis of other joints","Nyu2F00","","CPRD_GOLD"
"68648","Oligoarticular osteoarthritis, unspecified, of pelvis/thigh","N054500","","CPRD_GOLD"
"68712","Localised, secondary osteoarthritis of unspecified site","N052000","","CPRD_GOLD"
"70425","Osteoarthritis NOS, of tibio-fibular joint","N05zM00","","CPRD_GOLD"
"72109","Oligoarticular osteoarthritis, unspecified, of ankle/foot","N054700","","CPRD_GOLD"
"73930","[X]Other secondary gonarthrosis","Nyu2800","","CPRD_GOLD"
"73948","[X]Other secondary coxarthrosis, bilateral","Nyu2400","","CPRD_GOLD"
"73952","[X]Other secondary gonarthrosis, bilateral","Nyu2700","","CPRD_GOLD"
"97073","Oligoarticular osteoarthritis, unspecified, of upper arm","N054200","","CPRD_GOLD"
"99918","[X]Other secondary coxarthrosis","Nyu2E00","","CPRD_GOLD"
"100072","Delivery of rehabilitation for osteoarthritis","7P20400","","CPRD_GOLD"
"101479","Coxae malum senilis","N052511","","CPRD_GOLD"
"101890","[X]Other post-traumatic coxarthrosis","Nyu2300","","CPRD_GOLD"
"104033","Excepted fr osteoarthritis quality indicators: pt unsuitable","9hQ0.00","","CPRD_GOLD"
"106205","[X]Other primary arthrosis of first carpometacarpal joint","Nyu2900","","CPRD_GOLD"
