"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"M15","Polyarthrosis","M15","","ICD10"
"M150","Primary generalized (osteo)arthrosis","M15.0","","ICD10"
"M153","Secondary multiple arthrosis","M15.3","","ICD10"
"M154","Erosive (osteo)arthrosis","M15.4","","ICD10"
"M158","Other polyarthrosis","M15.8","","ICD10"
"M159","Polyarthrosis, unspecified","M15.9","","ICD10"
"M16","Coxarthrosis [arthrosis of hip]","M16","","ICD10"
"M160","Primary coxarthrosis, bilateral","M16.0","","ICD10"
"M161","Other primary coxarthrosis","M16.1","","ICD10"
"M164","Post-traumatic coxarthrosis, bilateral","M16.4","","ICD10"
"M165","Other post-traumatic coxarthrosis","M16.5","","ICD10"
"M166","Other secondary coxarthrosis, bilateral","M16.6","","ICD10"
"M167","Other secondary coxarthrosis","M16.7","","ICD10"
"M169","Coxarthrosis, unspecified","M16.9","","ICD10"
"M17","Gonarthrosis [arthrosis of knee]","M17","","ICD10"
"M170","Primary gonarthrosis, bilateral","M17.0","","ICD10"
"M171","Other primary gonarthrosis","M17.1","","ICD10"
"M172","Post-traumatic gonarthrosis, bilateral","M17.2","","ICD10"
"M173","Other post-traumatic gonarthrosis","M17.3","","ICD10"
"M174","Other secondary gonarthrosis, bilateral","M17.4","","ICD10"
"M175","Other secondary gonarthrosis","M17.5","","ICD10"
"M179","Gonarthrosis, unspecified","M17.9","","ICD10"
"M18","Arthrosis of first carpometacarpal joint","M18","","ICD10"
"M180","Primary arthrosis of first carpometacarpal joints, bilateral","M18.0","","ICD10"
"M181","Other primary arthrosis of first carpometacarpal joint","M18.1","","ICD10"
"M182","Post-traumatic arthrosis of first carpometacarpal joints, bilateral","M18.2","","ICD10"
"M183","Other post-traumatic arthrosis of first carpometacarpal joint","M18.3","","ICD10"
"M184","Other secondary arthrosis of first carpometacarpal joints, bilateral","M18.4","","ICD10"
"M185","Other secondary arthrosis of first carpometacarpal joint","M18.5","","ICD10"
"M189","Arthrosis of first carpometacarpal joint, unspecified","M18.9","","ICD10"
"M19","Other arthrosis","M19","","ICD10"
"M190","Primary arthrosis of other joints","M19.0","","ICD10"
"M1900","Primary arthrosis of other joints","M19.00","","ICD10"
"M1901","Primary arthrosis of other joints","M19.01","","ICD10"
"M1902","Primary arthrosis of other joints","M19.02","","ICD10"
"M1903","Primary arthrosis of other joints","M19.03","","ICD10"
"M1904","Primary arthrosis of other joints","M19.04","","ICD10"
"M1905","Primary arthrosis of other joints","M19.05","","ICD10"
"M1907","Primary arthrosis of other joints","M19.07","","ICD10"
"M1908","Primary arthrosis of other joints","M19.08","","ICD10"
"M1909","Primary arthrosis of other joints","M19.09","","ICD10"
"M191","Post-traumatic arthrosis of other joints","M19.1","","ICD10"
"M1910","Post-traumatic arthrosis of other joints","M19.10","","ICD10"
"M1911","Post-traumatic arthrosis of other joints","M19.11","","ICD10"
"M1912","Post-traumatic arthrosis of other joints","M19.12","","ICD10"
"M1913","Post-traumatic arthrosis of other joints","M19.13","","ICD10"
"M1914","Post-traumatic arthrosis of other joints","M19.14","","ICD10"
"M1915","Post-traumatic arthrosis of other joints","M19.15","","ICD10"
"M1917","Post-traumatic arthrosis of other joints","M19.17","","ICD10"
"M1918","Post-traumatic arthrosis of other joints","M19.18","","ICD10"
"M1919","Post-traumatic arthrosis of other joints","M19.19","","ICD10"
"M192","Other secondary arthrosis","M19.2","","ICD10"
"M1920","Other secondary arthrosis","M19.20","","ICD10"
"M1921","Other secondary arthrosis","M19.21","","ICD10"
"M1922","Other secondary arthrosis","M19.22","","ICD10"
"M1923","Other secondary arthrosis","M19.23","","ICD10"
"M1924","Other secondary arthrosis","M19.24","","ICD10"
"M1925","Other secondary arthrosis","M19.25","","ICD10"
"M1927","Other secondary arthrosis","M19.27","","ICD10"
"M1928","Other secondary arthrosis","M19.28","","ICD10"
"M1929","Other secondary arthrosis","M19.29","","ICD10"
"M198","Other specified arthrosis","M19.8","","ICD10"
"M1980","Other specified arthrosis","M19.80","","ICD10"
"M1981","Other specified arthrosis","M19.81","","ICD10"
"M1982","Other specified arthrosis","M19.82","","ICD10"
"M1983","Other specified arthrosis","M19.83","","ICD10"
"M1984","Other specified arthrosis","M19.84","","ICD10"
"M1985","Other specified arthrosis","M19.85","","ICD10"
"M1986","Other specified arthrosis","M19.86","","ICD10"
"M1987","Other specified arthrosis","M19.87","","ICD10"
"M1988","Other specified arthrosis","M19.88","","ICD10"
"M1989","Other specified arthrosis","M19.89","","ICD10"
"M199","Arthrosis, unspecified","M19.9","","ICD10"
"M1990","Arthrosis, unspecified","M19.90","","ICD10"
"M1991","Arthrosis, unspecified","M19.91","","ICD10"
"M1992","Arthrosis, unspecified","M19.92","","ICD10"
"M1993","Arthrosis, unspecified","M19.93","","ICD10"
"M1994","Arthrosis, unspecified","M19.94","","ICD10"
"M1995","Arthrosis, unspecified","M19.95","","ICD10"
"M1997","Arthrosis, unspecified","M19.97","","ICD10"
"M1998","Arthrosis, unspecified","M19.98","","ICD10"
"M1999","Arthrosis, unspecified","M19.99","","ICD10"
