"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"5742016","Chronic gastrojejunal ulcer with perforation","J141200","2807004","CPRD_AURUM"
"27285014","Stomal ulcer","J14..15","16121001","CPRD_AURUM"
"27286010","Marginal ulcer","J14..14","16121001","CPRD_AURUM"
"33419017","Acute gastric ulcer with perforation","J110200","19850005","CPRD_AURUM"
"37964010","Prepyloric ulcer","J11..11","22620000","CPRD_AURUM"
"40392014","Gastrocolic ulcer","J14..12","24060004","CPRD_AURUM"
"65759011","Pyloric ulcer","J11..12","39204006","CPRD_AURUM"
"83140013","Chronic duodenal ulcer with perforation","J121200","49916007","CPRD_AURUM"
"86362013","Duodenal ulcer disease","J122.00","51868009","CPRD_AURUM"
"101926016","Acute duodenal ulcer with perforation","J120200","61347001","CPRD_AURUM"
"110704012","Acute gastrojejunal ulcer with perforation","J140200","66636001","CPRD_AURUM"
"131281018","Acute peptic ulcer with perforation","J130200","79118000","CPRD_AURUM"
"196816014","Ulcer of oesophagus","J102.00","30811009","CPRD_AURUM"
"201417012","Fungal ulcer of oesophagus","J102100","88700009","CPRD_AURUM"
"206556016","Chronic duodenal ulcer","J121.00","128286008","CPRD_AURUM"
"206558015","Chronic gastrojejunal ulcer","J141.00","128288009","CPRD_AURUM"
"252563014","Peptic ulcer symptoms","1956.00","162033007","CPRD_AURUM"
"269310018","Closure of perforated gastric ulcer","761J000","173842008","CPRD_AURUM"
"269371013","Operations on duodenal ulcer","7627.00","173887007","CPRD_AURUM"
"269374017","Closure of perforated duodenal ulcer","7627000","173889005","CPRD_AURUM"
"302384014","Oesophageal ulcer due to aspirin","J102200","196607008","CPRD_AURUM"
"302470015","Acute gastric ulcer with obstruction","J110400","196632005","CPRD_AURUM"
"302481017","Chronic gastric ulcer with obstruction","J111400","196639001","CPRD_AURUM"
"302502012","Acute duodenal ulcer","J120.00","196652006","CPRD_AURUM"
"302511012","Acute duodenal ulcer with obstruction","J120400","196658005","CPRD_AURUM"
"302530012","Recurrent duodenal ulcer","J124.00","196671008","CPRD_AURUM"
"302546016","Acute peptic ulcer","J130.00","196682000","CPRD_AURUM"
"302553013","Acute peptic ulcer with obstruction","J130400","196687006","CPRD_AURUM"
"302562010","Chronic peptic ulcer with obstruction","J131400","196694009","CPRD_AURUM"
"302585011","Acute gastrojejunal ulcer","J140.00","196707000","CPRD_AURUM"
"302592018","Acute gastrojejunal ulcer with obstruction","J140400","196712004","CPRD_AURUM"
"302601012","Chronic gastrojejunal ulcer with obstruction","J141400","196719008","CPRD_AURUM"
"353328012","Duodenal erosion","J123.00","235692002","CPRD_AURUM"
"397833011","H/O: peptic ulcer","14C1.00","266998003","CPRD_AURUM"
"411542014","H/O: gastric ulcer","14C1.12","275548000","CPRD_AURUM"
"457315015","Multiple gastric ulcers","J11z.12","313425006","CPRD_AURUM"
"459010010","Endoscopic injection haemostasis of duodenal ulcer","761D500","314627002","CPRD_AURUM"
"484836012","Perforated chronic gastric ulcer","J111211","31301004","CPRD_AURUM"
"486596015","Chronic duodenal ulcer with haemorrhage AND perforation","J121300","36975000","CPRD_AURUM"
"494304013","Chronic gastrojejunal ulcer with haemorrhage AND perforation","J141300","45640006","CPRD_AURUM"
"495273013","Acute gastric ulcer with haemorrhage AND perforation","J110300","48974009","CPRD_AURUM"
"495535010","Perforated chronic duodenal ulcer","J121211","49916007","CPRD_AURUM"
"497833010","Chronic gastric ulcer with haemorrhage","J111100","57246001","CPRD_AURUM"
"498970016","Ulcerative oesophagitis","J101600","439955006","CPRD_AURUM"
"498977018","Chronic peptic ulcer with haemorrhage AND perforation","J131300","61300005","CPRD_AURUM"
"499386010","Chronic gastrojejunal ulcer with haemorrhage","J141100","62838000","CPRD_AURUM"
"508524014","Chronic duodenal ulcer with haemorrhage","J121100","89469000","CPRD_AURUM"
"508664015","Acute gastric ulcer with haemorrhage","J110100","89748001","CPRD_AURUM"
"1231704018","Bleeding chronic gastric ulcer","J111111","57246001","CPRD_AURUM"
"1235462014","Bleeding chronic duodenal ulcer","J121111","89469000","CPRD_AURUM"
"1235493010","Bleeding acute gastric ulcer","J110111","89748001","CPRD_AURUM"
"2649532016","Anti-platelet induced gastric ulcer","J112.00","424301005","CPRD_AURUM"
"362951000000115","Oversew of blood vessel of duodenal ulcer","7627200","226891000000104","CPRD_AURUM"
"885791000006113","GU - acute + h'ge + perf.","J110399","48974009","CPRD_AURUM"
"885811000006112","GU - chronic + haemorrhage","J111199","57246001","CPRD_AURUM"
"885831000006118","GU - chronic + h'ge + perf.","J111399","76181002","CPRD_AURUM"
"885851000006113","DU - acute + haemorrhage","J120199","12847006","CPRD_AURUM"
"885861000006110","DU - acute + perforation","J120299","61347001","CPRD_AURUM"
"885891000006119","DU - chronic + haemorrhage","J121199","89469000","CPRD_AURUM"
"885901000006115","DU - chronic + perforation","J121299","49916007","CPRD_AURUM"
"885941000006118","PU - acute + haemorrhage","J130199","12274003","CPRD_AURUM"
"885961000006119","PU - acute + h'ge + perf.","J130399","111353003","CPRD_AURUM"
"885981000006112","PU - chronic + haemorrhage","J131199","49232000","CPRD_AURUM"
"885991000006110","PU - chronic + perforation","J131299","3483000","CPRD_AURUM"
"886001000006111","PU - chronic + h'ge + perf.","J131399","61300005","CPRD_AURUM"
"990711000006115","GU - chronic NOS","J111.99","95530000","CPRD_AURUM"
"990721000006111","DU - acute NOS","J120.99","196652006","CPRD_AURUM"
"498969017","Peptic ulcer of oesophagus","J102000","6129004","CPRD_AURUM"
"269314010","Other specified operation on gastric ulcer","761Jy00","173841001","CPRD_AURUM"
"269376015","Other specified operation on duodenal ulcer","7627y00","173887007","CPRD_AURUM"
"269377012","Operation on duodenal ulcer NOS","7627z00","173887007","CPRD_AURUM"
"302463015","Acute gastric ulcer without mention of complication","J110000","95529005","CPRD_AURUM"
"302473018","Chronic gastric ulcer without mention of complication","J111000","95530000","CPRD_AURUM"
"302482012","Chronic gastric ulcer unspecified","J111y00","95530000","CPRD_AURUM"
"302483019","Chronic gastric ulcer NOS","J111z00","95530000","CPRD_AURUM"
"302485014","Unspecified gastric ulcer","J11y.00","397825006","CPRD_AURUM"
"302486010","Unspecified gastric ulcer without mention of complication","J11y000","397825006","CPRD_AURUM"
"302487018","Unspecified gastric ulcer with haemorrhage","J11y100","15902003","CPRD_AURUM"
"302490012","Unspecified gastric ulcer with haemorrhage and perforation","J11y300","62366003","CPRD_AURUM"
"302492016","Unspecified gastric ulcer with obstruction","J11y400","849591000000103","CPRD_AURUM"
"302495019","Unspecified gastric ulcer NOS","J11yz00","397825006","CPRD_AURUM"
"302512017","Acute duodenal ulcer unspecified","J120y00","196652006","CPRD_AURUM"
"302513010","Acute duodenal ulcer NOS","J120z00","196652006","CPRD_AURUM"
"302531011","Unspecified duodenal ulcer","J12y.00","51868009","CPRD_AURUM"
"302532016","Unspecified duodenal ulcer without mention of complication","J12y000","51868009","CPRD_AURUM"
"302538017","Unspecified duodenal ulcer with obstruction","J12y400","849601000000109","CPRD_AURUM"
"302541014","Unspecified duodenal ulcer NOS","J12yz00","51868009","CPRD_AURUM"
"302554019","Acute peptic ulcer unspecified","J130y00","196682000","CPRD_AURUM"
"302555018","Acute peptic ulcer NOS","J130z00","196682000","CPRD_AURUM"
"302556017","Chronic peptic ulcer without mention of complication","J131000","128287004","CPRD_AURUM"
"302563017","Chronic peptic ulcer unspecified","J131y00","128287004","CPRD_AURUM"
"302566013","Unspecified peptic ulcer without mention of complication","J13y000","13200003","CPRD_AURUM"
"302568014","Unspecified peptic ulcer with haemorrhage","J13y100","13200003","CPRD_AURUM"
"302571018","Unspecified peptic ulcer with haemorrhage and perforation","J13y300","13200003","CPRD_AURUM"
"302572013","Unspecified peptic ulcer with obstruction","J13y400","849611000000106","CPRD_AURUM"
"302575010","Unspecified peptic ulcer NOS","J13yz00","13200003","CPRD_AURUM"
"302602017","Chronic gastrojejunal ulcer unspecified","J141y00","128288009","CPRD_AURUM"
"302603010","Chronic gastrojejunal ulcer NOS","J141z00","128288009","CPRD_AURUM"
"302604016","Unspecified gastrojejunal ulcer","J14y.00","16121001","CPRD_AURUM"
"302606019","Unspecified gastrojejunal ulcer with haemorrhage","J14y100","16121001","CPRD_AURUM"
"302608018","Unspecified gastrojejunal ulcer with perforation","J14y200","16121001","CPRD_AURUM"
"302611017","Unspecified gastrojejunal ulcer with obstruction","J14y400","849621000000100","CPRD_AURUM"
"302615014","Gastrojejunal ulcer NOS","J14z.00","16121001","CPRD_AURUM"
"394147019","Closure of gastric ulcer NEC","761J100","173841001","CPRD_AURUM"
"396346019","Peptic ulcer - (PU) site unspecified","J13..00","13200003","CPRD_AURUM"
"76511000006111","Unspecified gastrojejunal ulcer without mention complication","J14y000","16121001","CPRD_AURUM"
"81301000006118","Unspec duodenal ulcer; unspec haemorrhage and/or perforation","J12yy00","51868009","CPRD_AURUM"
"81321000006111","Unspec gastrojejunal ulcer with haemorrhage and perforation","J14y300","16121001","CPRD_AURUM"
"81331000006114","Unspec gastrojejunal ulcer; unspec haemorrhage/perforation","J14yy00","16121001","CPRD_AURUM"
"81501000006111","Unspec peptic ulcer; unspec haemorrhage and/or perforation","J13yy00","13200003","CPRD_AURUM"
"121891000006117","Stress ulcer NOS","J13..11","13200003","CPRD_AURUM"
"221001000000111","Gastric ulcer - (GU)","J11..00","397825006","CPRD_AURUM"
"267191000006114","Oesophageal ulcer due to medicines","J102400","64595005","CPRD_AURUM"
"344611000006119","[V]Personal history of duodenal ulcer","ZV12712","275547005","CPRD_AURUM"
"345501000006119","[V]Personal history of peptic ulcer","ZV12711","266998003","CPRD_AURUM"
"554311000006114","Chronic gastric ulcer with haemorrhage and perforation","J111300","76181002","CPRD_AURUM"
"632091000006116","Duodenal ulcer - (DU)","J12..00","51868009","CPRD_AURUM"
"302534015","Unspecified duodenal ulcer with haemorrhage","J12y100","27281001","CPRD_AURUM"
"1562941000006111","Non steroidal anti inflammatory drug induced duodenal ulcer","J126.00","722200003","CPRD_AURUM"
"1562951000006113","Non steroidal anti inflammatory drug induced duoden ulc NOS","J126z00","722200003","CPRD_AURUM"
"454252012","[V] Personal history of gastric ulcer","ZV12C00","275548000","CPRD_AURUM"
"3521501000006114","Chronic gastrojejunal ulcer with hemorrhage","","62838000","CPRD_AURUM"
"3515551000006116","Ulcer of oesophagus caused by ingestion of chemical","","62465000","CPRD_AURUM"
"5727681000006119","Excision of ulcer of duodenum","","287828006","CPRD_AURUM"
"2860511000006118","Pyloric channel ulcer","","22620000","CPRD_AURUM"
"6593401000006112","Gastric ulceration","","397825006","CPRD_AURUM"
"2709521000006115","PUD - Peptic ulcer disease","","13200003","CPRD_AURUM"
"2752311000006118","Gastric ulcer with hemorrhage","","15902003","CPRD_AURUM"
"3550601000006117","Ulcer of esophagus due to ingestion of medicines","","64595005","CPRD_AURUM"
"3515491000006111","Chemical ulcer of esophagus","","62465000","CPRD_AURUM"
"2704011000006118","Acute duodenal ulcer with hemorrhage","","12847006","CPRD_AURUM"
"4784281000006113","Barrett's ulcer of esophagus","","196609006","CPRD_AURUM"
"3515501000006115","Corrosive ulcer of esophagus","","62465000","CPRD_AURUM"
"5966171000006110","Suture of duodenal ulcer","","307260009","CPRD_AURUM"
"2709491000006117","Gastroduodenal ulcer","","13200003","CPRD_AURUM"
"3236981000006112","Chronic gastrojejunal ulcer with hemorrhage AND perforation","","45640006","CPRD_AURUM"
