"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"352","Duodenal ulcer - (DU)","J12..00","","CPRD_GOLD"
"657","Unspecified duodenal ulcer with perforation","J12y200","","CPRD_GOLD"
"670","Peptic ulcer - (PU) site unspecified","J13..00","","CPRD_GOLD"
"1262","Gastric ulcer - (GU)","J11..00","","CPRD_GOLD"
"1295","Stomal ulcer","J14..15","","CPRD_GOLD"
"2489","Ulcer of oesophagus","J102.00","","CPRD_GOLD"
"2812","H/O: peptic ulcer","14C1.00","","CPRD_GOLD"
"2814","Unspecified duodenal ulcer with haemorrhage","J12y100","","CPRD_GOLD"
"2877","Gastric erosions","J11z.11","","CPRD_GOLD"
"3101","Pyloric ulcer","J11..12","","CPRD_GOLD"
"3462","Duodenal erosion","J123.00","","CPRD_GOLD"
"4316","Marginal ulcer","J14..14","","CPRD_GOLD"
"4643","Peptic ulcer symptoms","1956.00","","CPRD_GOLD"
"4741","Closure of perforated duodenal ulcer","7627000","","CPRD_GOLD"
"5283","Ulcerative oesophagitis","J101600","","CPRD_GOLD"
"5521","Acute peptic ulcer with perforation","J130200","","CPRD_GOLD"
"5596","Barrett's ulcer of oesophagus","J102500","","CPRD_GOLD"
"5928","Operations on duodenal ulcer","7627.00","","CPRD_GOLD"
"6321","H/O: duodenal ulcer","14C1.11","","CPRD_GOLD"
"6333","Prepyloric ulcer","J11..11","","CPRD_GOLD"
"6865","Stomach ulcer operations","761J.11","","CPRD_GOLD"
"7108","H/O: gastric ulcer","14C1.12","","CPRD_GOLD"
"9853","Chronic duodenal ulcer","J121.00","","CPRD_GOLD"
"9981","Jejunal ulcer","J14..13","","CPRD_GOLD"
"11104","Perforated chronic gastric ulcer","J111211","","CPRD_GOLD"
"11124","Bleeding acute gastric ulcer","J110111","","CPRD_GOLD"
"14671","Acute gastric ulcer with perforation","J110200","","CPRD_GOLD"
"15175","Duodenal ulcer NOS","J12z.00","","CPRD_GOLD"
"15403","Gastrojejunal ulcer NOS","J14z.00","","CPRD_GOLD"
"15821","Stress ulcer NOS","J13..11","","CPRD_GOLD"
"15979","Unspecified gastrojejunal ulcer with perforation","J14y200","","CPRD_GOLD"
"18001","Acute duodenal ulcer with haemorrhage","J120100","","CPRD_GOLD"
"18027","Acute duodenal ulcer","J120.00","","CPRD_GOLD"
"18319","Healed gastric ulcer leaving a scar","J17y800","","CPRD_GOLD"
"18324","Acute duodenal ulcer with perforation","J120200","","CPRD_GOLD"
"18625","Bleeding chronic duodenal ulcer","J121111","","CPRD_GOLD"
"18654","Chronic gastric ulcer","J111.00","","CPRD_GOLD"
"19928","Peptic ulcer NOS","J13z.00","","CPRD_GOLD"
"20677","Closure of perforated gastric ulcer","761J000","","CPRD_GOLD"
"22918","Duodenal ulcer disease","J122.00","","CPRD_GOLD"
"23082","Gastrojejunal ulcer (GJU)","J14..00","","CPRD_GOLD"
"23087","Perforated chronic duodenal ulcer","J121211","","CPRD_GOLD"
"23487","Anastomotic ulcer","J14..11","","CPRD_GOLD"
"23688","Operations on gastric ulcer","761J.00","","CPRD_GOLD"
"24021","Peptic ulcer of oesophagus","J102000","","CPRD_GOLD"
"24040","Acute gastric ulcer","J110.00","","CPRD_GOLD"
"24342","Acute gastric ulcer unspecified","J110y00","","CPRD_GOLD"
"26261","[V]Personal history of peptic ulcer","ZV12711","","CPRD_GOLD"
"28366","Unspec duodenal ulcer; unspec haemorrhage and/or perforation","J12yy00","","CPRD_GOLD"
"29317","Recurrent duodenal ulcer","J124.00","","CPRD_GOLD"
"29771","Gastric ulcer NOS","J11z.00","","CPRD_GOLD"
"30054","Acute gastric ulcer with haemorrhage","J110100","","CPRD_GOLD"
"32856","Acute peptic ulcer","J130.00","","CPRD_GOLD"
"33438","Chronic duodenal ulcer without mention of complication","J121000","","CPRD_GOLD"
"33914","Operation on gastric ulcer NOS","761Jz00","","CPRD_GOLD"
"36461","Unspecified gastric ulcer with perforation","J11y200","","CPRD_GOLD"
"36583","Bleeding chronic gastric ulcer","J111111","","CPRD_GOLD"
"37268","Suture of duodenal ulcer not elsewhere classified","7627100","","CPRD_GOLD"
"37620","Chronic peptic ulcer with perforation","J131200","","CPRD_GOLD"
"37643","Chronic duodenal ulcer with perforation","J121200","","CPRD_GOLD"
"40489","[V]Personal history of duodenal ulcer","ZV12712","","CPRD_GOLD"
"40997","Chronic peptic ulcer","J131.00","","CPRD_GOLD"
"41271","[V] Personal history of gastric ulcer","ZV12C00","","CPRD_GOLD"
"42150","Ulcer of oesophagus NOS","J102z00","","CPRD_GOLD"
"42274","Acute gastrojejunal ulcer NOS","J140z00","","CPRD_GOLD"
"44073","Chronic duodenal ulcer with obstruction","J121400","","CPRD_GOLD"
"44284","Unspecified gastric ulcer NOS","J11yz00","","CPRD_GOLD"
"44309","Chronic gastric ulcer NOS","J111z00","","CPRD_GOLD"
"44324","Acute gastric ulcer NOS","J110z00","","CPRD_GOLD"
"44335","Acute duodenal ulcer without mention of complication","J120000","","CPRD_GOLD"
"44637","Acute peptic ulcer with haemorrhage","J130100","","CPRD_GOLD"
"45184","Acute gastrojejunal ulcer","J140.00","","CPRD_GOLD"
"45304","Acute peptic ulcer with haemorrhage and perforation","J130300","","CPRD_GOLD"
"45981","Endoscopic injection haemostasis of duodenal ulcer","761D500","","CPRD_GOLD"
"48730","Acute duodenal ulcer with haemorrhage and perforation","J120300","","CPRD_GOLD"
"48946","Chronic gastric ulcer without mention of complication","J111000","","CPRD_GOLD"
"48951","Chronic duodenal ulcer with haemorrhage","J121100","","CPRD_GOLD"
"49926","Fungal ulcer of oesophagus","J102100","","CPRD_GOLD"
"50048","Acute peptic ulcer NOS","J130z00","","CPRD_GOLD"
"50497","Unspecified peptic ulcer","J13y.00","","CPRD_GOLD"
"51013","Oesophageal ulcer due to aspirin","J102200","","CPRD_GOLD"
"51406","Chronic duodenal ulcer NOS","J121z00","","CPRD_GOLD"
"52138","Chronic duodenal ulcer unspecified","J121y00","","CPRD_GOLD"
"52313","Chronic peptic ulcer with obstruction","J131400","","CPRD_GOLD"
"52323","Multiple gastric ulcers","J11z.12","","CPRD_GOLD"
"53081","Unspecified gastric ulcer","J11y.00","","CPRD_GOLD"
"53126","Chronic peptic ulcer with haemorrhage","J131100","","CPRD_GOLD"
"53336","Chronic gastric ulcer with perforation","J111200","","CPRD_GOLD"
"53669","Unspecified duodenal ulcer","J12y.00","","CPRD_GOLD"
"53797","Acute duodenal ulcer NOS","J120z00","","CPRD_GOLD"
"53822","Acute duodenal ulcer unspecified","J120y00","","CPRD_GOLD"
"55350","Oversew of blood vessel of duodenal ulcer","7627200","","CPRD_GOLD"
"55933","Operation on duodenal ulcer NOS","7627z00","","CPRD_GOLD"
"56005","Other specified operation on duodenal ulcer","7627y00","","CPRD_GOLD"
"57958","Unspecified gastric ulcer with haemorrhage","J11y100","","CPRD_GOLD"
"58603","Oesophageal ulcer due to medicines","J102400","","CPRD_GOLD"
"60249","Unspecified peptic ulcer NOS","J13yz00","","CPRD_GOLD"
"60346","Unspecified gastrojejunal ulcer with haemorrhage","J14y100","","CPRD_GOLD"
"63001","Anti-platelet induced gastric ulcer","J112.00","","CPRD_GOLD"
"63482","Unspecified gastrojejunal ulcer","J14y.00","","CPRD_GOLD"
"63582","Chronic gastric ulcer with haemorrhage","J111100","","CPRD_GOLD"
"63718","Endoscopic injection haemostasis of gastric ulcer","761D600","","CPRD_GOLD"
"64014","Closure of gastric ulcer NEC","761J100","","CPRD_GOLD"
"64111","Unspecified peptic ulcer with perforation","J13y200","","CPRD_GOLD"
"64165","Acute gastric ulcer without mention of complication","J110000","","CPRD_GOLD"
"64556","Chronic gastric ulcer unspecified","J111y00","","CPRD_GOLD"
"64710","Resection of gastric ulcer by cautery","7612500","","CPRD_GOLD"
"64913","Gastrocolic ulcer","J14..12","","CPRD_GOLD"
"65737","Unspecified duodenal ulcer NOS","J12yz00","","CPRD_GOLD"
"66092","Unspecified gastrojejunal ulcer NOS","J14yz00","","CPRD_GOLD"
"67082","Unspecified peptic ulcer without mention of complication","J13y000","","CPRD_GOLD"
"67356","Chronic gastric ulcer with obstruction","J111400","","CPRD_GOLD"
"67711","Acute peptic ulcer unspecified","J130y00","","CPRD_GOLD"
"68661","Acute peptic ulcer without mention of complication","J130000","","CPRD_GOLD"
"69663","Chronic peptic ulcer NOS","J131z00","","CPRD_GOLD"
"70005","Suture of ulcer of stomach NEC","761J111","","CPRD_GOLD"
"70390","Chronic peptic ulcer unspecified","J131y00","","CPRD_GOLD"
"70456","Unspecified peptic ulcer with haemorrhage","J13y100","","CPRD_GOLD"
"71150","Unspecified duodenal ulcer without mention of complication","J12y000","","CPRD_GOLD"
"71403","Acute gastric ulcer with haemorrhage and perforation","J110300","","CPRD_GOLD"
"71881","Chronic duodenal ulcer with haemorrhage and perforation","J121300","","CPRD_GOLD"
"71897","Chronic gastric ulcer with haemorrhage and perforation","J111300","","CPRD_GOLD"
"71904","Unspecified duodenal ulcer with obstruction","J12y400","","CPRD_GOLD"
"73338","Unspecified gastric ulcer without mention of complication","J11y000","","CPRD_GOLD"
"73417","Acute duodenal ulcer with obstruction","J120400","","CPRD_GOLD"
"73697","Unspecified gastric ulcer with obstruction","J11y400","","CPRD_GOLD"
"85989","Non steroidal anti inflammatory drug induced duodenal ulcer","J126.00","","CPRD_GOLD"
"89023","Non steroidal anti inflammatory drug induced gastric ulcer","J113.00","","CPRD_GOLD"
"89227","Anti-platelet induced gastric ulcer NOS","J112z00","","CPRD_GOLD"
