"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"K221","Ulcer of oesophagus","K22.1","","ICD10"
"K25","Gastric ulcer","K25","","ICD10"
"K250","Gastric ulcer","K25.0","","ICD10"
"K251","Gastric ulcer","K25.1","","ICD10"
"K252","Gastric ulcer","K25.2","","ICD10"
"K253","Gastric ulcer","K25.3","","ICD10"
"K254","Gastric ulcer","K25.4","","ICD10"
"K255","Gastric ulcer","K25.5","","ICD10"
"K256","Gastric ulcer","K25.6","","ICD10"
"K257","Gastric ulcer","K25.7","","ICD10"
"K259","Gastric ulcer","K25.9","","ICD10"
"K26","Duodenal ulcer","K26","","ICD10"
"K260","Duodenal ulcer","K26.0","","ICD10"
"K261","Duodenal ulcer","K26.1","","ICD10"
"K262","Duodenal ulcer","K26.2","","ICD10"
"K263","Duodenal ulcer","K26.3","","ICD10"
"K264","Duodenal ulcer","K26.4","","ICD10"
"K265","Duodenal ulcer","K26.5","","ICD10"
"K266","Duodenal ulcer","K26.6","","ICD10"
"K267","Duodenal ulcer","K26.7","","ICD10"
"K269","Duodenal ulcer","K26.9","","ICD10"
"K27","Peptic ulcer, site unspecified","K27","","ICD10"
"K270","Peptic ulcer, site unspecified","K27.0","","ICD10"
"K271","Peptic ulcer, site unspecified","K27.1","","ICD10"
"K272","Peptic ulcer, site unspecified","K27.2","","ICD10"
"K273","Peptic ulcer, site unspecified","K27.3","","ICD10"
"K274","Peptic ulcer, site unspecified","K27.4","","ICD10"
"K275","Peptic ulcer, site unspecified","K27.5","","ICD10"
"K276","Peptic ulcer, site unspecified","K27.6","","ICD10"
"K277","Peptic ulcer, site unspecified","K27.7","","ICD10"
"K279","Peptic ulcer, site unspecified","K27.9","","ICD10"
"K28","Gastrojejunal ulcer","K28","","ICD10"
"K280","Gastrojejunal ulcer","K28.0","","ICD10"
"K281","Gastrojejunal ulcer","K28.1","","ICD10"
"K282","Gastrojejunal ulcer","K28.2","","ICD10"
"K283","Gastrojejunal ulcer","K28.3","","ICD10"
"K284","Gastrojejunal ulcer","K28.4","","ICD10"
"K285","Gastrojejunal ulcer","K28.5","","ICD10"
"K286","Gastrojejunal ulcer","K28.6","","ICD10"
"K287","Gastrojejunal ulcer","K28.7","","ICD10"
"K289","Gastrojejunal ulcer","K28.9","","ICD10"
