"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"23211011","Paranoid personality disorder","E210.00","13601005","CPRD_AURUM"
"33677019","Borderline personality disorder","E21y200","20010003","CPRD_AURUM"
"133885012","Narcissistic personality disorder","E21y000","80711002","CPRD_AURUM"
"295080016","Immature personality disorder","E21y500","191773001","CPRD_AURUM"
"347010010","Fanatic personality","E210.11","231526007","CPRD_AURUM"
"453182018","Manipulative personality","E21yz11","309711009","CPRD_AURUM"
"882441000006118","Inadequate,passive personality","E216.99","84466009","CPRD_AURUM"
"972851000006115","** Personality disorder reviewed","","972851000006104","CPRD_AURUM"
"972911000006111","** Personality disorders-clinical & social perspectives","","972911000006107","CPRD_AURUM"
"973101000006118","** Psychopathic & antisocial personality disorders","","973101000006102","CPRD_AURUM"
"1976681000006113","Emotionally unstable personality disorder, impulsive type","","1976681000006109","CPRD_AURUM"
"475487017","Obsessional personality","E214100","1376001","CPRD_AURUM"
"295048018","Affective personality disorder NOS","E211z00","76105009","CPRD_AURUM"
"295049014","Unspecified schizoid personality disorder","E212000","52954000","CPRD_AURUM"
"295067019","Histrionic personality disorder NOS","E215z00","55341008","CPRD_AURUM"
"296458019","[X]Disorders of adult personality and behaviour","Eu6..00","943161000000107","CPRD_AURUM"
"296460017","[X]Specific personality disorders","Eu60.00","33449004","CPRD_AURUM"
"296488011","[X]Personality disorder, unspecified","Eu60z00","33449004","CPRD_AURUM"
"296489015","[X]Mixed and other personality disorders","Eu61.00","33449004","CPRD_AURUM"
"296549011","[X]Unspecified disorder of adult personality and behaviour","Eu6z.00","943161000000107","CPRD_AURUM"
"401786010","Other personality disorder NOS","E21yz00","33449004","CPRD_AURUM"
"1222259010","[X]Character neurosis NOS","Eu60z11","33449004","CPRD_AURUM"
"155281000006119","Schizotypal personality","E212200","31027006","CPRD_AURUM"
"195991000006117","Quarrelsome personality","E213.12","231527003","CPRD_AURUM"
"199821000006114","Psychopathic personality","E21z.11","26665006","CPRD_AURUM"
