"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"792","Psychopathic personality","E21z.11","","CPRD_GOLD"
"1293","Obsessional personality","E214100","","CPRD_GOLD"
"1364","Immature personality disorder","E21y500","","CPRD_GOLD"
"2076","Personality disorders","E21..00","","CPRD_GOLD"
"2729","Neurotic personality","E21y711","","CPRD_GOLD"
"3369","Schizoid personality disorder","E212.00","","CPRD_GOLD"
"3709","Emotionally unstable personality","E215200","","CPRD_GOLD"
"4515","Inadequate personality disorder","E216.00","","CPRD_GOLD"
"4759","Hysterical personality disorders","E215.11","","CPRD_GOLD"
"5652","Paranoid personality disorder","E210.00","","CPRD_GOLD"
"6339","Aggressive personality","E213.11","","CPRD_GOLD"
"7745","[X]Emotionally unstable personality disorder","Eu60300","","CPRD_GOLD"
"8424","[X]Anxious [avoidant] personality disorder","Eu60600","","CPRD_GOLD"
"9686","Neurotic, personality and other nonpsychotic disorders","E2...00","","CPRD_GOLD"
"10290","[X]Depressive personality disorder","Eu34112","","CPRD_GOLD"
"10455","Depressive personality disorder","E211200","","CPRD_GOLD"
"12228","Hypomanic personality disorder","E211100","","CPRD_GOLD"
"12707","Cyclothymic personality disorder","E211300","","CPRD_GOLD"
"14747","Schizoid personality disorder NOS","E212z00","","CPRD_GOLD"
"14979","Affective personality disorder","E211.00","","CPRD_GOLD"
"15098","Personality disorder NOS","E21z.00","","CPRD_GOLD"
"15960","Other personality disorder NOS","E21yz00","","CPRD_GOLD"
"16178","Unspecified affective personality disorder","E211000","","CPRD_GOLD"
"17420","[X]Obsessive-compulsive personality disorder","Eu60513","","CPRD_GOLD"
"18565","Borderline personality disorder","E21y200","","CPRD_GOLD"
"19931","Labile personality","E216.13","","CPRD_GOLD"
"20033","Manipulative personality","E21yz11","","CPRD_GOLD"
"20839","[X]Aggressive personality disorder","Eu60311","","CPRD_GOLD"
"20881","Compulsive personality disorders","E214.00","","CPRD_GOLD"
"21005","[X]Disorders of adult personality and behaviour","Eu6..00","","CPRD_GOLD"
"21077","Psychoneurotic personality disorder","E21y700","","CPRD_GOLD"
"21338","[X]Paranoid personality disorder","Eu60000","","CPRD_GOLD"
"21665","Dependent personality","E216.12","","CPRD_GOLD"
"21671","[X]Psychopathic personality disorder","Eu60214","","CPRD_GOLD"
"22259","[X]Obsessional personality disorder","Eu60512","","CPRD_GOLD"
"23597","Explosive personality disorder","E213.00","","CPRD_GOLD"
"23977","Antisocial or sociopathic personality disorder","E217.00","","CPRD_GOLD"
"25146","Other personality disorders","E21y.00","","CPRD_GOLD"
"26839","[X]Affective personality disorder","Eu34011","","CPRD_GOLD"
"26859","[X]Schizotypal personality disorder","Eu21.18","","CPRD_GOLD"
"27481","Histrionic personality disorders","E215.00","","CPRD_GOLD"
"27803","Eccentric personality disorder","E21y400","","CPRD_GOLD"
"27945","[X]Hysterical personality disorder","Eu60411","","CPRD_GOLD"
"28227","Neurotic personality disorder","E21..11","","CPRD_GOLD"
"30395","Anankastic personality","E214000","","CPRD_GOLD"
"30603","[X]Mixed and other personality disorders","Eu61.00","","CPRD_GOLD"
"31632","[X]Dissocial personality disorder","Eu60200","","CPRD_GOLD"
"31789","[X]Borderline personality disorder","Eu60312","","CPRD_GOLD"
"31819","[X]Dependent personality disorder","Eu60700","","CPRD_GOLD"
"32869","[X]Antisocial personality disorder","Eu60212","","CPRD_GOLD"
"33741","[X]Passive personality disorder","Eu60713","","CPRD_GOLD"
"34456","Compulsive personality disorder NOS","E214z00","","CPRD_GOLD"
"34896","[X]Other specified disorders of adult personality/behaviour","Eu6yy00","","CPRD_GOLD"
"35642","Avoidant personality disorder","E21y100","","CPRD_GOLD"
"35763","Passive-aggressive personality disorder","E21y300","","CPRD_GOLD"
"36043","Quarrelsome personality","E213.12","","CPRD_GOLD"
"37289","Narcissistic personality disorder","E21y000","","CPRD_GOLD"
"38031","[X]Inadequate personality disorder","Eu60712","","CPRD_GOLD"
"38100","[X]Compulsive personality disorder","Eu60511","","CPRD_GOLD"
"38371","[X]Schizoid personality disorder","Eu60100","","CPRD_GOLD"
"39011","Introverted personality","E212100","","CPRD_GOLD"
"39535","[X]Asthenic personality disorder","Eu60711","","CPRD_GOLD"
"39777","[X]Unspecified disorder of adult personality and behaviour","Eu6z.00","","CPRD_GOLD"
"40057","Anancastic personality","E214.11","","CPRD_GOLD"
"40104","[X]Addictive personality","Eu60800","","CPRD_GOLD"
"42496","[X]Personality disorder, unspecified","Eu60z00","","CPRD_GOLD"
"43690","[X]Histrionic personality disorder","Eu60400","","CPRD_GOLD"
"44242","Unspecified histrionic personality disorder","E215000","","CPRD_GOLD"
"45188","[X]Sociopathic personality disorder","Eu60215","","CPRD_GOLD"
"48687","[X]Sensitive paranoid personality disorder","Eu60014","","CPRD_GOLD"
"48796","Asthenic personality","E216.11","","CPRD_GOLD"
"49600","[X]Other specific personality disorders","Eu60y00","","CPRD_GOLD"
"49721","[X]Pathological personality NOS","Eu60z12","","CPRD_GOLD"
"49779","[X]Immature personality disorder","Eu60y13","","CPRD_GOLD"
"50188","[X]Specific personality disorders","Eu60.00","","CPRD_GOLD"
"50348","[X]Psychoneurotic personality disorder","Eu60y16","","CPRD_GOLD"
"51497","Affective personality disorder NOS","E211z00","","CPRD_GOLD"
"52465","[X]Anankastic personality disorder","Eu60500","","CPRD_GOLD"
"53335","[X]Narcissistic personality disorder","Eu60y14","","CPRD_GOLD"
"55969","[X]Eccentric personality disorder","Eu60y11","","CPRD_GOLD"
"56502","[X]Asocial personality disorder","Eu60213","","CPRD_GOLD"
"57567","[X]Character neurosis NOS","Eu60z11","","CPRD_GOLD"
"58693","[X]Explosive personality disorder","Eu60313","","CPRD_GOLD"
"59008","[X]Self defeating personality disorder","Eu60714","","CPRD_GOLD"
"60522","Histrionic personality disorder NOS","E215z00","","CPRD_GOLD"
"61969","Schizotypal personality","E212200","","CPRD_GOLD"
"64838","[X]Other disorders of adult personality and behaviour","Eu6y.00","","CPRD_GOLD"
"67130","Unspecified schizoid personality disorder","E212000","","CPRD_GOLD"
"67590","Psychoinfantile personality","E215300","","CPRD_GOLD"
"68042","Amoral personality","E217.11","","CPRD_GOLD"
"69000","[X]Querulant personality disorder","Eu60013","","CPRD_GOLD"
"69185","[X]Psychoinfantile personality disorder","Eu60412","","CPRD_GOLD"
"70899","Masochistic personality disorder","E21y600","","CPRD_GOLD"
"71431","[X]Haltlose type personality disorder","Eu60y12","","CPRD_GOLD"
"105029","[X]Amoral personality disorder","Eu60211","","CPRD_GOLD"
"111667","[X]Expansive paranoid personality disorder","Eu60011","","CPRD_GOLD"
"112875","[X]Passive-aggressive personality disorder","Eu60y15","","CPRD_GOLD"
