"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"F60","Specific personality disorders","F60","","ICD10"
"F600","Paranoid personality disorder","F60.0","","ICD10"
"F601","Schizoid personality disorder","F60.1","","ICD10"
"F602","Dissocial personality disorder","F60.2","","ICD10"
"F603","Emotionally unstable personality disorder","F60.3","","ICD10"
"F604","Histrionic personality disorder","F60.4","","ICD10"
"F605","Anankastic personality disorder","F60.5","","ICD10"
"F606","Anxious [avoidant] personality disorder","F60.6","","ICD10"
"F607","Dependent personality disorder","F60.7","","ICD10"
"F608","Other specific personality disorders","F60.8","","ICD10"
"F609","Personality disorder, unspecified","F60.9","","ICD10"
"F61X","Mixed and other personality disorders","F61","","ICD10"
"F68","Other disorders of adult personality and behaviour","F68","","ICD10"
"F688","Other specified disorders of adult personality and behaviour","F68.8","","ICD10"
"F69X","Unspecified disorder of adult personality and behaviour","F69","","ICD10"
