"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"379886010","Pituitary adenoma","B7H2.11","254956000","CPRD_AURUM"
"1228164013","[M]Prolactinoma","BB5y400","34337008","CPRD_AURUM"
"507971000006117","Benign neoplasm of pituitary and craniopharyngeal duct NOS","B7H2z00","271479005","CPRD_AURUM"
"3052921000006115","Prolactinoma","","34337008","CPRD_AURUM"
"2835531000006114","Corticotroph adenoma","","21109002","CPRD_AURUM"
"3626841000006111","Myoepithelial adenoma","","69291002","CPRD_AURUM"
"4001081000006118","Benign tumor of pituitary gland","","92296004","CPRD_AURUM"
"4001071000006116","Benign tumour of pituitary gland","","92296004","CPRD_AURUM"
"3996871000006113","Benign tumour of craniopharyngeal duct","","92072003","CPRD_AURUM"
"406274012","Benign neoplasm of pituitary gland and craniopharyngeal duct","B7H2.00","271479005","CPRD_AURUM"
"152784015","Benign neoplasm of pituitary gland","B7H2000","92296004","CPRD_AURUM"
"3996881000006111","Benign tumor of craniopharyngeal duct","","92072003","CPRD_AURUM"
"4392461000006113","Neoplasm of pituitary gland","","127024001","CPRD_AURUM"
"3704891000006113","Anterior pituitary adenoma syndrome","","74107003","CPRD_AURUM"
"152487014","Benign neoplasm of craniopharyngeal duct","B7H2300","92072003","CPRD_AURUM"
"5353511000006118","Adenoma of pituitary","","254956000","CPRD_AURUM"
"4505731000006118","Prolactin-secreting pituitary adenoma","","134209002","CPRD_AURUM"
"5353681000006112","Pituitary macroadenoma","","254965007","CPRD_AURUM"
"5111501000006117","Pituitary cyst","","237716008","CPRD_AURUM"
"5353541000006119","Corticotroph adenoma","","254958004","CPRD_AURUM"
"4412731000006117","Pituitary adenoma","","128664001","CPRD_AURUM"
"5107851000006113","Selective transsphenoidal pituitary adenomectomy","","237479005","CPRD_AURUM"
"5353631000006111","Functionless pituitary adenoma","","254962005","CPRD_AURUM"
"5353691000006110","Suprasellar extension of pituitary adenoma","","254966008","CPRD_AURUM"
"5324591000006110","Macroprolactinoma","","253011004","CPRD_AURUM"
"5324581000006112","Microprolactinoma","","253010003","CPRD_AURUM"
"5353661000006119","Pituitary microadenoma","","254963000","CPRD_AURUM"
"4505721000006116","Prolactinoma","","134209002","CPRD_AURUM"
