"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"146259010","Secondary pulmonary hypertension","G41y000","88223008","CPRD_AURUM"
"351421000000117","Primary pulmonary hypertension drugs Band 3","7Q01200","221321000000101","CPRD_AURUM"
"351441000000112","Primary pulmonary hypertension drugs Band 4","7Q01300","221331000000104","CPRD_AURUM"
"2297871000000111","Pulmonary arterial hypertension drugs Band 1","7Q01400","892401000000105","CPRD_AURUM"
"2297911000000113","Pulmonary arterial hypertension drugs Band 2","7Q01500","892421000000101","CPRD_AURUM"
"2297951000000112","Pulmonary arterial hypertension drugs Band 3","7Q01600","892441000000108","CPRD_AURUM"
"43850011","Primary pulmonary hypertension","G410.00","11399002","CPRD_AURUM"
"3654631000006113","Pulmonary hypertension","","70995007","CPRD_AURUM"
"2681661000006119","Hypertensive pulmonary arterial disease","","11399002","CPRD_AURUM"
"5057801000006113","Chronic thromboembolic pulmonary hypertension","","233947005","CPRD_AURUM"
"3654641000006115","PHT - Pulmonary hypertension","","70995007","CPRD_AURUM"
"2681651000006116","Pulmonary hypertensive arterial disease","","11399002","CPRD_AURUM"
"1749291000006113","Thromboembolic pulmonary hypertension","","1749291000006109","CPRD_AURUM"
"905451000006118","[RFC] Pulmonary embolism/pulmonary hypertension","","905451000006102","CPRD_AURUM"
"351381000000114","Primary pulmonary hypertension drugs Band 1","7Q01000","221301000000105","CPRD_AURUM"
"2297991000000116","Pulmonary arterial hypertension drugs Band 4","7Q01700","892461000000109","CPRD_AURUM"
"351401000000114","Primary pulmonary hypertension drugs Band 2","7Q01100","221311000000107","CPRD_AURUM"
"350517010","Thromboembolic pulmonary hypertension","G41y100","233947005","CPRD_AURUM"
"2598561000006116","Cirrhosis-familial with pulmonary hypertension","","6183001","CPRD_AURUM"
"7501621000006118","Idiopathic pulmonary arterial hypertension","","697898008","CPRD_AURUM"
"7052811000006113","Right heart failure due to pulmonary hypertension","","426012001","CPRD_AURUM"
"5590581000006114","Pulmonary hypertension with occult mitral stenosis","","276793003","CPRD_AURUM"
