"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"33456014","Rhinophyma","M153100","19877001","CPRD_AURUM"
"308692019","Rosacea hypertrophica","M153200","200931008","CPRD_AURUM"
"308693012","Lupoid rosacea","M153300","200932001","CPRD_AURUM"
"308694018","Ocular rosacea","M153400","200933006","CPRD_AURUM"
"1778393010","Rosacea","M153.00","398909004","CPRD_AURUM"
"1786588010","Acne rosacea","M153000","398909004","CPRD_AURUM"
"889281000006115","Rosacea Of Face","M153.99","398909004","CPRD_AURUM"
"308696016","Rosacea NOS","M153z00","398909004","CPRD_AURUM"
"309362013","[X]Other rosacea","Myu6900","398909004","CPRD_AURUM"
"6613911000006113","Acne erythematosa","","398909004","CPRD_AURUM"
"17666017","Rosacea conjunctivitis","F4C3100","371097007","CPRD_AURUM"
"889291000006117","Acne roscea","M153099","398909004","CPRD_AURUM"
"2815421000006117","Hypertrophic rosacea","","19877001","CPRD_AURUM"
"5125861000006114","Rosaceal flushing","","238750001","CPRD_AURUM"
"2502591000006112","Acne rosacea, erythematous telangiectatic type","","257006","CPRD_AURUM"
"3733661000006113","Acne rosacea, papular type","","75867005","CPRD_AURUM"
"4053451000006114","Rosacea keratitis","","95244005","CPRD_AURUM"
"5027621000006115","Rosacea blepharitis","","231800009","CPRD_AURUM"
"5027601000006113","Rosacea of skin of eyelid","","231800009","CPRD_AURUM"
