"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"297440017","Multiple cranial nerve palsies in sarcoidosis","F326300","193101001","CPRD_AURUM"
"297566017","Polyneuropathy in sarcoidosis","F374900","193195000","CPRD_AURUM"
"297643013","Myopathy due to sarcoidosis","F396500","193251003","CPRD_AURUM"
"303525019","Hepatic granulomas in sarcoidosis","J63A.00","197368002","CPRD_AURUM"
"311616019","Myositis in sarcoidosis","N233200","203042003","CPRD_AURUM"
"454209012","Sarcoidosis of inferior turbinates","AD54.00","310607007","CPRD_AURUM"
"477671011","Sarcoid arthropathy","AD55.00","361197009","CPRD_AURUM"
"502127019","Lupus pernio","AD53000","72470008","CPRD_AURUM"
"1223250017","Sarcoidosis of lung","AD50.00","24369008","CPRD_AURUM"
"1231546012","Sarcoidosis of skin","AD53.00","55941000","CPRD_AURUM"
"1494958019","Sarcoid myocarditis","G5y7.00","195033009","CPRD_AURUM"
"293742013","[X]Sarcoidosis of other and combined sites","Cyu0600","31541009","CPRD_AURUM"
"3008161000006119","Darier-Roussy sarcoid","","31541009","CPRD_AURUM"
"3008131000006111","Miliary lupoid of Boeck","","31541009","CPRD_AURUM"
"3553221000006116","Lymph node sarcoidosis","","64757003","CPRD_AURUM"
"4777241000006117","Sarcoid heart muscle disease","","195033009","CPRD_AURUM"
"3008121000006113","Besnier-Boeck-Schaumann syndrome","","31541009","CPRD_AURUM"
"3008151000006116","Benign lymphogranulomatosis of Schaumann","","31541009","CPRD_AURUM"
"4767881000006118","Sarcoid meningitis","","192673008","CPRD_AURUM"
"3008111000006117","Boeck's sarcoid","","31541009","CPRD_AURUM"
"1232607019","Sarcoidosis of lymph nodes","AD51.00","64757003","CPRD_AURUM"
"287930013","Sarcoidosis of lung with sarcoidosis of lymph nodes","AD52.00","187233002","CPRD_AURUM"
"296819018","Meningitis due to sarcoidosis","F013.00","192673008","CPRD_AURUM"
"161591000006114","Sarcoid heart disease","G558300","195033009","CPRD_AURUM"
"4770931000006119","Sarcoid myopathy","","193251003","CPRD_AURUM"
"3678391000006114","Sarcoidosis, lupus pernio type","","72470008","CPRD_AURUM"
"312642016","[X]Myositis in sarcoidosis classified elsewhere","Nyu8900","203042003","CPRD_AURUM"
"3408931000006117","Skin sarcoidosis","","55941000","CPRD_AURUM"
"4770621000006110","Sarcoid neuropathy","","193195000","CPRD_AURUM"
"3408911000006111","Cutaneous sarcoidosis","","55941000","CPRD_AURUM"
"4767901000006116","Meningeal sarcoidosis","","192673008","CPRD_AURUM"
"3008141000006118","Lupus pernio of Besnier","","31541009","CPRD_AURUM"
"3008171000006114","Boeck's sarcoidosis","","31541009","CPRD_AURUM"
"40879015","Pulmonary sarcoidosis","H57y200","24369008","CPRD_AURUM"
"52728016","Sarcoidosis","AD5..00","31541009","CPRD_AURUM"
"5055561000006115","Stage 4 pulmonary sarcoidosis","","233770009","CPRD_AURUM"
"5065841000006111","Ocular sarcoidosis","","234526006","CPRD_AURUM"
"3726191000006118","Cardiac sarcoidosis","","75403004","CPRD_AURUM"
"5124931000006111","Acute skin sarcoidosis","","238674006","CPRD_AURUM"
"5055541000006119","Stage 3 pulmonary sarcoidosis","","233769008","CPRD_AURUM"
"3097041000006118","Renal sarcoidosis","","37061001","CPRD_AURUM"
"6220621000006114","Sarcoid arthritis","","361198004","CPRD_AURUM"
"5055171000006117","Mediastinal lymph node sarcoidosis","","233743002","CPRD_AURUM"
"5055491000006112","Stage 1 pulmonary sarcoidosis","","233767005","CPRD_AURUM"
"5004751000006119","Neurosarcoidosis","","230193008","CPRD_AURUM"
