"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3859","Pulmonary sarcoidosis","H57y200","","CPRD_GOLD"
"3865","Sarcoidosis","AD5..00","","CPRD_GOLD"
"26405","Hepatic granulomas in sarcoidosis","J63A.00","","CPRD_GOLD"
"27769","Sarcoidosis of skin","AD53.00","","CPRD_GOLD"
"28952","Lupus pernio","AD53000","","CPRD_GOLD"
"33980","Sarcoidosis of lung","AD50.00","","CPRD_GOLD"
"34437","Sarcoid myocarditis","G5y7.00","","CPRD_GOLD"
"40613","Sarcoid arthropathy","AD55.00","","CPRD_GOLD"
"40751","Polyneuropathy in sarcoidosis","F374900","","CPRD_GOLD"
"47037","Sarcoid heart disease","G558300","","CPRD_GOLD"
"47718","Myositis in sarcoidosis","N233200","","CPRD_GOLD"
"49075","Sarcoidosis of lymph nodes","AD51.00","","CPRD_GOLD"
"49454","Meningitis due to sarcoidosis","F013.00","","CPRD_GOLD"
"52519","Myopathy due to sarcoidosis","F396500","","CPRD_GOLD"
"55612","Multiple cranial nerve palsies in sarcoidosis","F326300","","CPRD_GOLD"
"58841","Sarcoidosis of lung with sarcoidosis of lymph nodes","AD52.00","","CPRD_GOLD"
"72595","Sarcoidosis of inferior turbinates","AD54.00","","CPRD_GOLD"
"73284","[X]Sarcoidosis of other and combined sites","Cyu0600","","CPRD_GOLD"
