"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"35209010","Congenital postural scoliosis","PE22.00","20944008","CPRD_AURUM"
"35274016","Progressive infantile idiopathic scoliosis","N373300","20980008","CPRD_AURUM"
"48227012","Resolving infantile idiopathic scoliosis","N373200","28801006","CPRD_AURUM"
"312419019","Kyphoscoliosis and scoliosis","N373.00","203638000","CPRD_AURUM"
"312426019","Postural scoliosis","N373600","203645000","CPRD_AURUM"
"312428018","Adolescent idiopathic scoliosis","N373700","203646004","CPRD_AURUM"
"312445011","Scoliosis in skeletal dysplasia","N374A00","203661003","CPRD_AURUM"
"312446012","Neuromuscular scoliosis","N374B00","203662005","CPRD_AURUM"
"312447015","Scoliosis in neurofibromatosis","N374C00","203663000","CPRD_AURUM"
"2157548013","Congenital kyphoscoliosis","PG18.11","405772002","CPRD_AURUM"
"892671000006111","Kyphoscoliosis/scoliosis-acqu.","N373.99","203638000","CPRD_AURUM"
"1772881000006115","Scoliosis of thoracic spine","","298494008","CPRD_AURUM"
"1772911000006115","Early onset scoliosis","","1772911000006104","CPRD_AURUM"
"1780461000006115","Correction of scoliosis","","275249009","CPRD_AURUM"
"312430016","Scoliosis secondary to other treatment","N373900","64217002","CPRD_AURUM"
"312431017","Kyphoscoliosis or scoliosis NOS","N373z00","64217002","CPRD_AURUM"
"312438011","Scoliosis associated with other condition","N374300","64217002","CPRD_AURUM"
"312596011","[X]Other idiopathic scoliosis","Nyu5300","203639008","CPRD_AURUM"
"312597019","[X]Other secondary scoliosis","Nyu5400","111266001","CPRD_AURUM"
"312598012","[X]Other forms of scoliosis","Nyu5500","298382003","CPRD_AURUM"
"632801000006118","Dwyer anterior wiring of spine for scoliosis","7J44111","265724005","CPRD_AURUM"
"752841000006112","Kyphosis, scoliosis, and lordosis associated with oth cond","N374.11","405773007","CPRD_AURUM"
"253939017","O/E - kyphoscoliotic chest def","2376.00","162929002","CPRD_AURUM"
"4822091000006118","Compensatory scoliosis","","203645000","CPRD_AURUM"
"4554771000006111","O/E - kyphoscoliotic chest deformity","","162929002","CPRD_AURUM"
"3903971000006111","Sacralization-scoliosis-sciatica syndrome","","86345004","CPRD_AURUM"
"3268261000006117","Scoliosis caused by radiation","","47518006","CPRD_AURUM"
"3268231000006114","Scoliosis due to radiation","","47518006","CPRD_AURUM"
"3903981000006114","Sacralisation-scoliosis-sciatica syndrome","","86345004","CPRD_AURUM"
"12454221000006115","O/E - kyphoscoliotic chest def","","162929002","CPRD_AURUM"
"2833201000006116","Congenital scoliosis","","20944008","CPRD_AURUM"
"4554791000006112","On examination - kyphoscoliotic chest deformity","","162929002","CPRD_AURUM"
"312448013","Scoliosis in connective tissue anomalies","N374D00","203664006","CPRD_AURUM"
"2909661000006118","Kyphoscoliosis type","","25606004","CPRD_AURUM"
"5853871000006110","Scoliosis of dorsal spine","","298494008","CPRD_AURUM"
"893301000006117","Congenital lordosis/scoliosis","PE2..99","205043005","CPRD_AURUM"
"1230479018","Radiation scoliosis","N373400","47518006","CPRD_AURUM"
"312420013","Idiopathic scoliosis","N373000","203639008","CPRD_AURUM"
"312421012","Idiopathic kyphoscoliosis","N373100","203640005","CPRD_AURUM"
"121239018","Thoracogenic scoliosis","N373500","72992003","CPRD_AURUM"
"585051000006118","Congenital scoliosis due to congenital bony malformation","PE23.00","205045003","CPRD_AURUM"
"1772921000006111","Restrictive lung disease due to kyphoscoliosis","","427908002","CPRD_AURUM"
"3268251000006119","Scoliosis from radiation","","47518006","CPRD_AURUM"
"312429014","Post-surgical scoliosis","N373800","203647008","CPRD_AURUM"
"76126013","Kyphoscoliotic heart disease","G411.00","45650007","CPRD_AURUM"
"5852251000006112","Scoliosis","","298382003","CPRD_AURUM"
"4193231000006115","Lordoscoliosis","","111268000","CPRD_AURUM"
"7090081000006118","Spinal fusion for scoliosis","","428547005","CPRD_AURUM"
"7692621000006118","Idiopathic scoliosis of thoracic spine","","712580000","CPRD_AURUM"
"6718341000006113","Acquired kyphoscoliosis","","405771009","CPRD_AURUM"
"7692631000006115","Idiopathic scoliosis of lumbar spine","","712581001","CPRD_AURUM"
"5856051000006119","Lumbar spine scoliosis","","298591003","CPRD_AURUM"
"5852391000006112","Scoliosis of cervical spine","","298392006","CPRD_AURUM"
"5853881000006113","Kyphoscoliosis of thoracic spine","","298495009","CPRD_AURUM"
"5722231000006115","Kyphoscoliosis/scoliosis - acquired","","287079004","CPRD_AURUM"
"5852431000006118","Kyphoscoliosis of cervical spine","","298394007","CPRD_AURUM"
"5722291000006116","Congenital lordosis/scoliosis","","287087003","CPRD_AURUM"
"5856041000006116","Scoliosis of lumbar spine","","298591003","CPRD_AURUM"
"5650801000006115","Thoracogenic kyphoscoliosis","","281376007","CPRD_AURUM"
"5155641000006110","Scoliosis survey X-ray","","241094007","CPRD_AURUM"
