"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"714","Kyphoscoliosis and scoliosis","N373.00","","CPRD_GOLD"
"755","Idiopathic scoliosis","N373000","","CPRD_GOLD"
"3059","Thoracogenic scoliosis","N373500","","CPRD_GOLD"
"3705","Postural scoliosis","N373600","","CPRD_GOLD"
"4330","Congenital postural scoliosis","PE22.00","","CPRD_GOLD"
"7136","O/E - kyphoscoliotic chest def","2376.00","","CPRD_GOLD"
"9567","Congenital scoliosis due to congenital bony malformation","PE23.00","","CPRD_GOLD"
"10664","Kyphosis, scoliosis, and lordosis associated with oth cond","N374.11","","CPRD_GOLD"
"11620","Kyphoscoliosis or scoliosis NOS","N373z00","","CPRD_GOLD"
"12549","Adolescent idiopathic scoliosis","N373700","","CPRD_GOLD"
"14790","Idiopathic kyphoscoliosis","N373100","","CPRD_GOLD"
"22657","Dwyer anterior wiring of spine for scoliosis","7J44111","","CPRD_GOLD"
"27725","Post-surgical scoliosis","N373800","","CPRD_GOLD"
"28717","Congenital kyphoscoliosis","PG18.11","","CPRD_GOLD"
"36682","Resolving infantile idiopathic scoliosis","N373200","","CPRD_GOLD"
"40041","Scoliosis associated with other condition","N374300","","CPRD_GOLD"
"42901","Kyphoscoliotic heart disease","G411.00","","CPRD_GOLD"
"43192","Scoliosis in connective tissue anomalies","N374D00","","CPRD_GOLD"
"45232","Progressive infantile idiopathic scoliosis","N373300","","CPRD_GOLD"
"45554","Neuromuscular scoliosis","N374B00","","CPRD_GOLD"
"53874","[X]Other secondary scoliosis","Nyu5400","","CPRD_GOLD"
"53972","Scoliosis secondary to other treatment","N373900","","CPRD_GOLD"
"56368","[X]Other forms of scoliosis","Nyu5500","","CPRD_GOLD"
"64135","Radiation scoliosis","N373400","","CPRD_GOLD"
"64218","Scoliosis in skeletal dysplasia","N374A00","","CPRD_GOLD"
"67445","Scoliosis in neurofibromatosis","N374C00","","CPRD_GOLD"
"72582","[X]Other idiopathic scoliosis","Nyu5300","","CPRD_GOLD"
