"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"I271","Kyphoscoliotic heart disease","I27.1","","ICD10"
"M41","Scoliosis","M41","","ICD10"
"M410","Infantile idiopathic scoliosis","M41.0","","ICD10"
"M4100","Infantile idiopathic scoliosis","M41.00","","ICD10"
"M4101","Infantile idiopathic scoliosis","M41.01","","ICD10"
"M4102","Infantile idiopathic scoliosis","M41.02","","ICD10"
"M4103","Infantile idiopathic scoliosis","M41.03","","ICD10"
"M4104","Infantile idiopathic scoliosis","M41.04","","ICD10"
"M4105","Infantile idiopathic scoliosis","M41.05","","ICD10"
"M4106","Infantile idiopathic scoliosis","M41.06","","ICD10"
"M4107","Infantile idiopathic scoliosis","M41.07","","ICD10"
"M4108","Infantile idiopathic scoliosis","M41.08","","ICD10"
"M4109","Infantile idiopathic scoliosis","M41.09","","ICD10"
"M411","Juvenile idiopathic scoliosis","M41.1","","ICD10"
"M4110","Juvenile idiopathic scoliosis","M41.10","","ICD10"
"M4111","Juvenile idiopathic scoliosis","M41.11","","ICD10"
"M4112","Juvenile idiopathic scoliosis","M41.12","","ICD10"
"M4113","Juvenile idiopathic scoliosis","M41.13","","ICD10"
"M4114","Juvenile idiopathic scoliosis","M41.14","","ICD10"
"M4115","Juvenile idiopathic scoliosis","M41.15","","ICD10"
"M4116","Juvenile idiopathic scoliosis","M41.16","","ICD10"
"M4117","Juvenile idiopathic scoliosis","M41.17","","ICD10"
"M4118","Juvenile idiopathic scoliosis","M41.18","","ICD10"
"M4119","Juvenile idiopathic scoliosis","M41.19","","ICD10"
"M412","Other idiopathic scoliosis","M41.2","","ICD10"
"M4120","Other idiopathic scoliosis","M41.20","","ICD10"
"M4121","Other idiopathic scoliosis","M41.21","","ICD10"
"M4122","Other idiopathic scoliosis","M41.22","","ICD10"
"M4123","Other idiopathic scoliosis","M41.23","","ICD10"
"M4124","Other idiopathic scoliosis","M41.24","","ICD10"
"M4125","Other idiopathic scoliosis","M41.25","","ICD10"
"M4126","Other idiopathic scoliosis","M41.26","","ICD10"
"M4127","Other idiopathic scoliosis","M41.27","","ICD10"
"M4128","Other idiopathic scoliosis","M41.28","","ICD10"
"M4129","Other idiopathic scoliosis","M41.29","","ICD10"
"M413","Thoracogenic scoliosis","M41.3","","ICD10"
"M4130","Thoracogenic scoliosis","M41.30","","ICD10"
"M4133","Thoracogenic scoliosis","M41.33","","ICD10"
"M4134","Thoracogenic scoliosis","M41.34","","ICD10"
"M4135","Thoracogenic scoliosis","M41.35","","ICD10"
"M414","Neuromuscular scoliosis","M41.4","","ICD10"
"M4140","Neuromuscular scoliosis","M41.40","","ICD10"
"M4141","Neuromuscular scoliosis","M41.41","","ICD10"
"M4142","Neuromuscular scoliosis","M41.42","","ICD10"
"M4143","Neuromuscular scoliosis","M41.43","","ICD10"
"M4144","Neuromuscular scoliosis","M41.44","","ICD10"
"M4145","Neuromuscular scoliosis","M41.45","","ICD10"
"M4146","Neuromuscular scoliosis","M41.46","","ICD10"
"M4147","Neuromuscular scoliosis","M41.47","","ICD10"
"M4148","Neuromuscular scoliosis","M41.48","","ICD10"
"M4149","Neuromuscular scoliosis","M41.49","","ICD10"
"M415","Other secondary scoliosis","M41.5","","ICD10"
"M4150","Other secondary scoliosis","M41.50","","ICD10"
"M4151","Other secondary scoliosis","M41.51","","ICD10"
"M4152","Other secondary scoliosis","M41.52","","ICD10"
"M4153","Other secondary scoliosis","M41.53","","ICD10"
"M4154","Other secondary scoliosis","M41.54","","ICD10"
"M4155","Other secondary scoliosis","M41.55","","ICD10"
"M4156","Other secondary scoliosis","M41.56","","ICD10"
"M4157","Other secondary scoliosis","M41.57","","ICD10"
"M4158","Other secondary scoliosis","M41.58","","ICD10"
"M4159","Other secondary scoliosis","M41.59","","ICD10"
"M418","Other forms of scoliosis","M41.8","","ICD10"
"M4180","Other forms of scoliosis","M41.80","","ICD10"
"M4181","Other forms of scoliosis","M41.81","","ICD10"
"M4182","Other forms of scoliosis","M41.82","","ICD10"
"M4183","Other forms of scoliosis","M41.83","","ICD10"
"M4184","Other forms of scoliosis","M41.84","","ICD10"
"M4185","Other forms of scoliosis","M41.85","","ICD10"
"M4186","Other forms of scoliosis","M41.86","","ICD10"
"M4187","Other forms of scoliosis","M41.87","","ICD10"
"M4188","Other forms of scoliosis","M41.88","","ICD10"
"M4189","Other forms of scoliosis","M41.89","","ICD10"
"M419","Scoliosis, unspecified","M41.9","","ICD10"
"M4190","Scoliosis, unspecified","M41.90","","ICD10"
"M4191","Scoliosis, unspecified","M41.91","","ICD10"
"M4192","Scoliosis, unspecified","M41.92","","ICD10"
"M4193","Scoliosis, unspecified","M41.93","","ICD10"
"M4194","Scoliosis, unspecified","M41.94","","ICD10"
"M4195","Scoliosis, unspecified","M41.95","","ICD10"
"M4196","Scoliosis, unspecified","M41.96","","ICD10"
"M4197","Scoliosis, unspecified","M41.97","","ICD10"
"M4198","Scoliosis, unspecified","M41.98","","ICD10"
"M4199","Scoliosis, unspecified","M41.99","","ICD10"
"M965","Postradiation scoliosis","M96.5","","ICD10"
"Q763","Congenital scoliosis due to congenital bony malformation","Q76.3","","ICD10"
"Q764","Other congenital malformations of spine, not associated with scoliosis","Q76.4","","ICD10"
