"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"84230010","Seborrhoeic dermatitis","M101.00","50563003","CPRD_AURUM"
"84231014","Seborrhoeic eczema","M101.12","50563003","CPRD_AURUM"
"220911000000115","Seborrhoeic dermatitis capitis","M101.11","156329007","CPRD_AURUM"
"3318731000006111","Seborrheic eczema","","50563003","CPRD_AURUM"
"3318761000006119","SBD - Seborrheic dermatitis","","50563003","CPRD_AURUM"
"4515211000006117","Seborrheic eczema of scalp","","156329007","CPRD_AURUM"
"889121000006112","Seborrhoeic dermat/eczema NOS","M101.98","50563003","CPRD_AURUM"
"889131000006110","Seborrhoeic dermatitis/eczema","M101.99","50563003","CPRD_AURUM"
"987591000006117","Seborrhoea capitis","M101.97","156329007","CPRD_AURUM"
"4515201000006115","Seborrhea capitis","","156329007","CPRD_AURUM"
"3318751000006116","SBD - Seborrhoeic dermatitis","","50563003","CPRD_AURUM"
"1783489011","Seborrhoea capitis","M244.11","156329007","CPRD_AURUM"
"4515181000006116","Seborrhoeic eczema of scalp","","156329007","CPRD_AURUM"
"4515171000006119","Seborrheic dermatitis of scalp","","156329007","CPRD_AURUM"
"4515191000006118","Seborrhoea capitis","","156329007","CPRD_AURUM"
"309316017","[X]Other seborrhoeic dermatitis","Myu2000","50563003","CPRD_AURUM"
"3318721000006113","Seborrheic dermatitis","","50563003","CPRD_AURUM"
"5027541000006114","Seborrhoeic blepharitis","","231797007","CPRD_AURUM"
"5123291000006118","Flexural seborrhoeic dermatitis","","238566001","CPRD_AURUM"
"5033721000006117","Seborrhoeic otitis externa","","232243009","CPRD_AURUM"
