"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"103777013","Transplantation of pancreas","7830.00","62438007","CPRD_AURUM"
"117168016","Renal transplant","7B00.98","70536003","CPRD_AURUM"
"251923016","H/O: kidney recipient","14S2.00","161665007","CPRD_AURUM"
"270232016","Replacement of previous liver transplant","7800200","174427006","CPRD_AURUM"
"270615013","Transplantation of tail of pancreas","7830200","174693008","CPRD_AURUM"
"270616014","Renewal of transplanted pancreatic tissue","7830400","174694002","CPRD_AURUM"
"272320011","Allotransplantation of kidney from live donor","7B00111","175901007","CPRD_AURUM"
"272325018","Cadaveric renal transplant","7B00212","175902000","CPRD_AURUM"
"272389014","Exploration of renal transplant","7B06300","175948009","CPRD_AURUM"
"324973015","Kidney transplant failure and rejection","SP08300","213150003","CPRD_AURUM"
"324974014","Heart transplant failure and rejection","SP08400","213151004","CPRD_AURUM"
"324975010","Heart-lung transplant failure and rejection","SP08500","213152006","CPRD_AURUM"
"348547019","Single lung transplant","7450100","232657004","CPRD_AURUM"
"348550016","Double lung transplant","7450000","232658009","CPRD_AURUM"
"352929018","Exploration of liver transplant","7805211","235458006","CPRD_AURUM"
"354610013","Renal transplant rejection","SP08R00","236570004","CPRD_AURUM"
"354613010","Very mild acute rejection of renal transplant","SP08V00","236573002","CPRD_AURUM"
"354616019","Acute rejection of renal transplant - grade I","SP08E00","236575009","CPRD_AURUM"
"354617011","Acute rejection of renal transplant - grade II","SP08F00","236576005","CPRD_AURUM"
"354621016","Chronic transplant nephropathy","SP08J11","236578006","CPRD_AURUM"
"354623018","Chronic rejection of renal transplant - grade 1","SP08K00","236579003","CPRD_AURUM"
"354627017","Chronic rejection of renal transplant - grade III","SP08M00","236581001","CPRD_AURUM"
"354628010","Acute-on-chronic rejection of renal transplant","SP08D00","236582008","CPRD_AURUM"
"354632016","De novo glomerulonephritis","SP08b00","236586006","CPRD_AURUM"
"413415016","Unexplained episode of renal transplant dysfunction","SP08N00","277010001","CPRD_AURUM"
"422992018","Excision of rejected transplanted kidney","7B01511","284348003","CPRD_AURUM"
"501594013","Transplantation of kidney","7B00.00","70536003","CPRD_AURUM"
"2676200013","Orthotopic transplantation of whole liver","7800400","426356008","CPRD_AURUM"
"864761000006115","Pancreas transplant","7830.99","62438007","CPRD_AURUM"
"906351000006116","[RFC] Renal transplant","","906351000006100","CPRD_AURUM"
"988961000006115","Renal transplant rejected","SP08399","213150003","CPRD_AURUM"
"1711491000006119","Post-transplant bronchiolitis obliterans syndrome","","1711491000006103","CPRD_AURUM"
"1713291000006119","Cardiothoracic transplantation","","1713291000006103","CPRD_AURUM"
"2189151000000117","Urological complication of renal transplant","SP08T00","843691000000100","CPRD_AURUM"
"2191221000000118","Vascular complication of renal transplant","SP08W00","844661000000109","CPRD_AURUM"
"2197961000000113","Rupture of artery of transplanted kidney","SP08X00","847791000000101","CPRD_AURUM"
"2209101000000119","Aneurysm of artery of transplanted kidney","SP08Q00","853021000000108","CPRD_AURUM"
"2234541000000115","Thrombosis of artery of transplanted kidney","SP08Z00","864271000000105","CPRD_AURUM"
"270233014","Other specified transplantation of liver","7800y00","18027006","CPRD_AURUM"
"270234015","Transplantation of liver NOS","7800z00","18027006","CPRD_AURUM"
"270618010","Transplantation of pancreas NOS","7830z00","62438007","CPRD_AURUM"
"270768010","Transplantation of heart and lung NOS","7900z00","174802006","CPRD_AURUM"
"270777015","Other specified other transplantation of heart","7901y00","32413006","CPRD_AURUM"
"272326017","Other specified transplantation of kidney","7B00y00","70536003","CPRD_AURUM"
"272327014","Transplantation of kidney NOS","7B00z00","70536003","CPRD_AURUM"
"31211000006119","Orthotopic transplantation of liver","7800000","174425003","CPRD_AURUM"
"55971000006117","Xenotransplantation of heart","7901100","174808005","CPRD_AURUM"
"90461000006118","Transplantation of kidney from cadaver","7B00200","175902000","CPRD_AURUM"
"90511000006115","Transplantation of lung","7450.00","88039007","CPRD_AURUM"
"177251000006119","Renal transplant with complication, without blame","TB00111","88797001","CPRD_AURUM"
"177341000006111","Renal tubulo-interstitial disordrs in transplant rejectn","K0B5.00","197747000","CPRD_AURUM"
"225661000006111","Piggy back liver transplant","7800112","174426002","CPRD_AURUM"
"380101000000116","Post-transplantation of kidney examination, recipient","7B0F300","428645009","CPRD_AURUM"
"424791000006110","[X]Renal tubulo-interstitial disorders/transplant rejection","Kyu1C00","197747000","CPRD_AURUM"
"478131000006115","Allotransplantation of kidney from cadaver","7B00211","175902000","CPRD_AURUM"
"500401000006116","Auxillary liver transplant","7800111","174426002","CPRD_AURUM"
"615611000006116","Det.ren.func.after ren.transpl","SP08011","236570004","CPRD_AURUM"
"754061000006111","Kidney transplant with complication, without blame","TB00100","88797001","CPRD_AURUM"
"822591000006117","Heterotopic transplantation of liver","7800100","174426002","CPRD_AURUM"
"1549841000006116","Allotransplantation kidney from cadaver, heart non-beating","7B00400","711413009","CPRD_AURUM"
"1905531000006112","Excision of rejected transplanted kidney","7B01900","284348003","CPRD_AURUM"
"900121000006113","Renal transplant rejected","SP08199","236570004","CPRD_AURUM"
"1227663018","[V]Pancreas transplanted","ZV42y12","62438007","CPRD_AURUM"
"460645013","[V]Heart transplanted","ZV42100","161666008","CPRD_AURUM"
"4542541000006117","History of heart recipient","","161666008","CPRD_AURUM"
"3022131000006119","CTx - Cardiac transplant","","32413006","CPRD_AURUM"
"3527364013","Transplanted liver present","","737297006","CPRD_AURUM"
"7688541000006114","Transplantation of kidney regime","","711446003","CPRD_AURUM"
"3647071000006110","Tx - Kidney transplantation","","70536003","CPRD_AURUM"
"5039311000006114","SLTx - Single lung transplant","","232657004","CPRD_AURUM"
"5096171000006118","Mild chronic transplant nephropathy","","236579003","CPRD_AURUM"
"4542501000006119","History of renal transplant","","161665007","CPRD_AURUM"
"4661761000006116","Orthotopic transplantation of liver","","174425003","CPRD_AURUM"
"3532180010","Liver transplant recipient","","737297006","CPRD_AURUM"
"4663311000006116","Whole organ pancreatic transplant","","174692003","CPRD_AURUM"
"2786011000006112","Hepatic transplantation","","18027006","CPRD_AURUM"
"4669451000006113","Exploration of kidney transplant","","175948009","CPRD_AURUM"
"3647061000006115","Kidney transplant","","70536003","CPRD_AURUM"
"12458801000006116","[V]Liver transplanted","","737297006","CPRD_AURUM"
"4542691000006113","History of being lung transplant recipient","","161672008","CPRD_AURUM"
"3022121000006117","Heart transplant","","32413006","CPRD_AURUM"
"4669011000006116","Live donor renal allotransplant","","175901007","CPRD_AURUM"
"7688001000006116","Allotransplantation of kidney with DBD (donation after brain stem death)","","711411006","CPRD_AURUM"
"2786021000006116","LTx - Liver transplant","","18027006","CPRD_AURUM"
"3647051000006117","Tx - Renal transplantation","","70536003","CPRD_AURUM"
"4663811000006112","Xenotransplant of heart","","174808005","CPRD_AURUM"
"3930661000006110","Transplant of lung","","88039007","CPRD_AURUM"
"4542521000006112","History of - kidney recipient","","161665007","CPRD_AURUM"
"4663831000006118","Auxiliary heart transplant","","174809002","CPRD_AURUM"
"4661751000006118","Orthotopic liver transplant","","174425003","CPRD_AURUM"
"5039331000006115","DLTx - Double lung transplant","","232658009","CPRD_AURUM"
"2786001000006114","Tx - Liver transplantation","","18027006","CPRD_AURUM"
"4661791000006112","Piggy-back liver transplant","","174426002","CPRD_AURUM"
"4663791000006113","Allotransplant of heart and lung","","174802006","CPRD_AURUM"
"460955014","[V]Heart and lungs transplant status","ZV59600","53958007","CPRD_AURUM"
"864951000006119","Heart transplant","7901.99","586351000000102","CPRD_AURUM"
"399381000000115","Allotransplantation of kidney from cadaver NEC","7B00500","175902000","CPRD_AURUM"
"861571000006118","Lung transplant","7450.99","88039007","CPRD_AURUM"
"354615015","Acute rejection of renal transplant","SP08H00","236574008","CPRD_AURUM"
"354618018","Acute rejection of renal transplant - grade III","SP08G00","236577001","CPRD_AURUM"
"354619014","Chronic rejection of renal transplant","SP08J00","236578006","CPRD_AURUM"
"251924010","H/O: heart recipient","14S3.00","161666008","CPRD_AURUM"
"270617017","Other specified transplantation of pancreas","7830y00","62438007","CPRD_AURUM"
"270769019","Other transplantation of heart","7901.00","32413006","CPRD_AURUM"
"270770018","Allotransplantation of heart NEC","7901000","232973007","CPRD_AURUM"
"270776012","Revision of transplantation of heart NEC","7901500","32413006","CPRD_AURUM"
"270778013","Other transplantation of heart NOS","7901z00","32413006","CPRD_AURUM"
"739931000006118","Liver transplant with complication, without blame","TB00200","88797001","CPRD_AURUM"
"3023071000006110","HLTx - Heart lung transplant","","32477003","CPRD_AURUM"
"5096211000006116","Severe chronic transplant nephropathy","","236581001","CPRD_AURUM"
"4661781000006114","Auxiliary liver transplant","","174426002","CPRD_AURUM"
"4542661000006117","History of liver recipient","","161671001","CPRD_AURUM"
"3515071000006117","Pancreatic transplant","","62438007","CPRD_AURUM"
"4663371000006113","Transplanted pancreas pancreatectomy","","174699007","CPRD_AURUM"
"3647021000006114","Transplant of kidney","","70536003","CPRD_AURUM"
"3022151000006114","HTx - Heart transplant","","32413006","CPRD_AURUM"
"225671000006116","Piggyback transplantation of heart","7901300","174809002","CPRD_AURUM"
"12719481000006116","Other transplantation of heart","","586351000000102","CPRD_AURUM"
"2198001000000111","Rupture of vein of transplanted kidney","SP08Y00","847811000000100","CPRD_AURUM"
"2198141000000110","Stenosis of vein of transplanted kidney","SP08P00","847881000000107","CPRD_AURUM"
"1800881000000119","Post-transplant bronchiolitis obliterans syndrome","SP08B00","805261000000101","CPRD_AURUM"
"1709421000006118","Complication of transplanted lung","","1709421000006102","CPRD_AURUM"
"864281000006116","Liver transplant","7800.98","18027006","CPRD_AURUM"
"2160021016","Cardiothoracic transplantation","9b8B200","408471009","CPRD_AURUM"
"324976011","Liver transplant failure and rejection","SP08600","213153001","CPRD_AURUM"
"353974015","Xenograft renal transplant","7B00600","236138007","CPRD_AURUM"
"354624012","Chronic rejection of renal transplant - grade II","SP08L00","236580000","CPRD_AURUM"
"270612011","Transplantation of pancreas and duodenum","7830000","174691005","CPRD_AURUM"
"270614012","Transplantation of whole pancreas","7830100","174692003","CPRD_AURUM"
"270766014","Revision of transplantation of heart and lung","7900100","174803001","CPRD_AURUM"
"73655011","Complication of transplanted lung","SP08900","44165003","CPRD_AURUM"
"251929017","H/O: liver recipient","14S8.00","161671001","CPRD_AURUM"
"251930010","H/O: lung recipient","14S9.00","161672008","CPRD_AURUM"
