"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"242","Allotransplantation of heart NEC","7901000","","CPRD_GOLD"
"250","Transplantation of heart and lung","7900.00","","CPRD_GOLD"
"2997","Transplantation of kidney","7B00.00","","CPRD_GOLD"
"4405","Transplantation of liver","7800.00","","CPRD_GOLD"
"4438","Other transplantation of heart","7901.00","","CPRD_GOLD"
"5504","Transplantation of kidney NOS","7B00z00","","CPRD_GOLD"
"5911","[V]Kidney transplanted","ZV42000","","CPRD_GOLD"
"6692","Liver transplant failure and rejection","SP08600","","CPRD_GOLD"
"9026","[V]Liver transplanted","ZV42700","","CPRD_GOLD"
"9384","[V]Heart transplanted","ZV42100","","CPRD_GOLD"
"10394","[V]Lung transplanted","ZV42600","","CPRD_GOLD"
"10461","Transplantation of lung","7450.00","","CPRD_GOLD"
"11553","Kidney transplant failure and rejection","SP08300","","CPRD_GOLD"
"11745","Transplantation of kidney from live donor","7B00100","","CPRD_GOLD"
"18774","Renal transplant with complication, without blame","TB00111","","CPRD_GOLD"
"24361","Transplantation of kidney from cadaver","7B00200","","CPRD_GOLD"
"26862","Exploration of renal transplant","7B06300","","CPRD_GOLD"
"27319","Transplantation of liver NOS","7800z00","","CPRD_GOLD"
"27679","Heart-lung transplant failure and rejection","SP08500","","CPRD_GOLD"
"31997","Liver transplant with complication, without blame","TB00200","","CPRD_GOLD"
"32025","Orthotopic transplantation of liver","7800000","","CPRD_GOLD"
"35368","Transplantation of pancreas","7830.00","","CPRD_GOLD"
"36960","[V]Heart and lungs transplant status","ZV59600","","CPRD_GOLD"
"37198","H/O: liver recipient","14S8.00","","CPRD_GOLD"
"38011","Transplantation of lung NOS","7450z00","","CPRD_GOLD"
"41495","Other transplantation of heart NOS","7901z00","","CPRD_GOLD"
"44077","[V]Pancreas transplanted","ZV42y12","","CPRD_GOLD"
"47484","Heart transplant failure and rejection","SP08400","","CPRD_GOLD"
"47861","Exploration of liver transplant","7805211","","CPRD_GOLD"
"48057","Renal tubulo-interstitial disordrs in transplant rejectn","K0B5.00","","CPRD_GOLD"
"48121","Transplant nephrectomy","7B01500","","CPRD_GOLD"
"49028","H/O: kidney recipient","14S2.00","","CPRD_GOLD"
"53626","Allotransplantation of heart and lung","7900000","","CPRD_GOLD"
"54990","Kidney transplant with complication, without blame","TB00100","","CPRD_GOLD"
"56993","Transplantation of whole pancreas","7830100","","CPRD_GOLD"
"59394","H/O: heart recipient","14S3.00","","CPRD_GOLD"
"61073","Transplantation of heart and lung NOS","7900z00","","CPRD_GOLD"
"64438","Heart transplant with complication, without blame","TB00000","","CPRD_GOLD"
"65772","H/O: lung recipient","14S9.00","","CPRD_GOLD"
"66705","Allotransplantation of kidney from live donor","7B00111","","CPRD_GOLD"
"67499","Transplantation of pancreas NOS","7830z00","","CPRD_GOLD"
"69194","Replacement of previous liver transplant","7800200","","CPRD_GOLD"
"69734","Other specified other transplantation of heart","7901y00","","CPRD_GOLD"
"70712","Det.ren.func.after ren.transpl","SP08011","","CPRD_GOLD"
"70874","Other specified transplantation of kidney","7B00y00","","CPRD_GOLD"
