"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"N165","Renal tubulo-interstitial disorders in transplant rejection","N16.5","","ICD10"
"T861","Kidney transplant failure and rejection","T86.1","","ICD10"
"T862","Heart transplant failure and rejection","T86.2","","ICD10"
"T863","Heart-lung transplant failure and rejection","T86.3","","ICD10"
"T864","Liver transplant failure and rejection","T86.4","","ICD10"
"Z940","Kidney transplant status","Z94.0","","ICD10"
"Z941","Heart transplant status","Z94.1","","ICD10"
"Z942","Lung transplant status","Z94.2","","ICD10"
"Z943","Heart and lungs transplant status","Z94.3","","ICD10"
"Z944","Liver transplant status","Z94.4","","ICD10"
