"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"88663019","Spina bifida with hydrocephalus","P10..00","53318002","CPRD_AURUM"
"110447013","Spina bifida","P1...00","67531005","CPRD_AURUM"
"312745012","Thoracic spina bifida with hydrocephalus","P100200","203935000","CPRD_AURUM"
"312746013","Lumbar spina bifida with hydrocephalus","P100300","203936004","CPRD_AURUM"
"312758013","Cervical spina bifida with hydrocephalus - open","P102100","203941007","CPRD_AURUM"
"312759017","Thoracic spina bifida with hydrocephalus - open","P102200","203942000","CPRD_AURUM"
"312760010","Lumbar spina bifida with hydrocephalus - open","P102300","203943005","CPRD_AURUM"
"312767013","Lumbar spina bifida with hydrocephalus - closed","P103300","203950009","CPRD_AURUM"
"312768015","Sacral spina bifida with hydrocephalus - closed","P103400","203951008","CPRD_AURUM"
"312773014","Spina bifida with hydrocephalus of late onset","P104.00","203954000","CPRD_AURUM"
"312806014","Cervical meningomyelocele","P114100","203985009","CPRD_AURUM"
"312807017","Thoracic meningomyelocele","P114200","203986005","CPRD_AURUM"
"312808010","Lumbar meningomyelocele","P114300","203987001","CPRD_AURUM"
"312829018","Thoracic spina bifida without hydrocephalus - open","P117200","204004001","CPRD_AURUM"
"312830011","Lumbar spina bifida without hydrocephalus - open","P117300","204005000","CPRD_AURUM"
"312831010","Sacral spina bifida without hydrocephalus - open","P117400","204006004","CPRD_AURUM"
"312835018","Cervical spina bifida without hydrocephalus - closed","P118100","204010001","CPRD_AURUM"
"312837014","Thoracic spina bifida without hydrocephalus - closed","P118200","204011002","CPRD_AURUM"
"312838016","Lumbar spina bifida without hydrocephalus - closed","P118300","204012009","CPRD_AURUM"
"312839012","Sacral spina bifida without hydrocephalus - closed","P118400","204013004","CPRD_AURUM"
"376993011","Thoracolumbar spina bifida without hydrocephalus - closed","P118z11","253111001","CPRD_AURUM"
"400761013","Spina bifida without hydrocephalus - open","P117.00","268146009","CPRD_AURUM"
"2534752017","Meningomyelocele","P114.00","414667000","CPRD_AURUM"
"312743017","Spina bifida with hydrocephalus, unspecified","P100000","53318002","CPRD_AURUM"
"312762019","Spina bifida with hydrocephalus - open NOS","P102z00","268143001","CPRD_AURUM"
"312775019","Other specified spina bifida with hydrocephalus","P10y.00","67531005","CPRD_AURUM"
"312777010","Other spina bifida with hydrocephalus NOS","P10yz00","67531005","CPRD_AURUM"
"312805013","Meningomyelocele of unspecified site","P114000","414667000","CPRD_AURUM"
"312809019","Meningomyelocele NOS","P114z00","414667000","CPRD_AURUM"
"312832015","Spina bifida without hydrocephalus - open NOS","P117z00","268146009","CPRD_AURUM"
"312834019","Unspecified spina bifida without hydrocephalus - closed","P118000","204008003","CPRD_AURUM"
"312852019","Spina bifida NOS","P1z..00","67531005","CPRD_AURUM"
"400759016","Spina bifida with hydrocephalus - closed NOS","P103z00","203946002","CPRD_AURUM"
"400760014","Spina bifida without mention of hydrocephalus, unspecified","P110.00","67531005","CPRD_AURUM"
"400762018","Spina bifida without hydrocephalus - closed NOS","P118z00","204008003","CPRD_AURUM"
"400763011","Other specified spina bifida without hydrocephalus","P11y.00","67531005","CPRD_AURUM"
"400764017","Spina bifida without mention of hydrocephalus NOS","P11z.00","67531005","CPRD_AURUM"
"78661000006114","Unspecified spina bifida without hydrocephalus NOS","P110z00","67531005","CPRD_AURUM"
"134831000006116","Spina bifida without hydrocephalus, site unspecified","P110000","67531005","CPRD_AURUM"
"4822661000006115","Dandy-Walker syndrome with spina bifida","","203957007","CPRD_AURUM"
"3598561000006111","SB - Spina bifida","","67531005","CPRD_AURUM"
"892791000006117","Spina bifida -no hydrocephalus","P11..99","528691000000108","CPRD_AURUM"
"377003010","Thoracolumbar spina bifida with hydrocephalus - closed","P103z11","253118007","CPRD_AURUM"
"400758012","Spina bifida with hydrocephalus - open","P102.00","268143001","CPRD_AURUM"
"312774015","Spina bifida with stenosis of aqueduct of Sylvius","P105.00","203955004","CPRD_AURUM"
"312785018","Thoracic spina bifida without mention of hydrocephalus","P110200","528711000000105","CPRD_AURUM"
"312786017","Lumbar spina bifida without mention of hydrocephalus","P110300","530041000000105","CPRD_AURUM"
"312833013","Spina bifida without hydrocephalus - closed","P118.00","204008003","CPRD_AURUM"
"127701015","Spina bifida occulta","PG17.00","76916001","CPRD_AURUM"
"312784019","Cervical spina bifida without mention of hydrocephalus","P110100","32232003","CPRD_AURUM"
"312827016","Unspecified spina bifida without hydrocephalus - open","P117000","67531005","CPRD_AURUM"
"607741000006116","Dandy - Walker syndrome with spina bifida","P10y000","203957007","CPRD_AURUM"
"3018891000006115","Spina bifida of cervical region","","32232003","CPRD_AURUM"
"3750591000006112","SBO - Spina bifida occulta","","76916001","CPRD_AURUM"
"312742010","Unspecified spina bifida with hydrocephalus","P100.00","53318002","CPRD_AURUM"
"312757015","Unspecified spina bifida with hydrocephalus - open","P102000","268143001","CPRD_AURUM"
"312778017","Spina bifida with hydrocephalus NOS","P10z.00","53318002","CPRD_AURUM"
"312779013","Spina bifida without mention of hydrocephalus","P11..00","67531005","CPRD_AURUM"
"315657017","[X]Unspecified spina bifida with hydrocephalus","Pyu0400","53318002","CPRD_AURUM"
"907251000006113","[RFC] Spina bifida","","907251000006109","CPRD_AURUM"
"377002017","Closed spina bifida with Arnold-Chiari malformation","P101.11","253117002","CPRD_AURUM"
"312744011","Cervical spina bifida with hydrocephalus","P100100","203934001","CPRD_AURUM"
"312761014","Sacral spina bifida with hydrocephalus - open","P102400","203944004","CPRD_AURUM"
"312763012","Spina bifida with hydrocephalus - closed","P103.00","203946002","CPRD_AURUM"
"134741000006119","Spina bifida with hydrocephalus NOS","P100z00","53318002","CPRD_AURUM"
"312764018","Unspecified spina bifida with hydrocephalus - closed","P103000","203946002","CPRD_AURUM"
"892781000006115","Spina bifida + hydrocephalus","P10..99","53318002","CPRD_AURUM"
"907421000006117","[RFC] Spina bifida","","907421000006101","CPRD_AURUM"
"312765017","Cervical spina bifida with hydrocephalus - closed","P103100","203948001","CPRD_AURUM"
"312766016","Thoracic spina bifida with hydrocephalus - closed","P103200","203949009","CPRD_AURUM"
"312828014","Cervical spina bifida without hydrocephalus - open","P117100","204003007","CPRD_AURUM"
"3018901000006116","Cervical spina bifida","","32232003","CPRD_AURUM"
"12718061000006113","Spina bifida without mention of hydrocephalus","","528691000000108","CPRD_AURUM"
