"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"3336","Spina bifida occulta","PG17.00","","CPRD_GOLD"
"3947","Spina bifida","P1...00","","CPRD_GOLD"
"5306","Spina bifida with hydrocephalus, unspecified","P100000","","CPRD_GOLD"
"5431","Spina bifida without mention of hydrocephalus","P11..00","","CPRD_GOLD"
"9722","Meningomyelocele","P114.00","","CPRD_GOLD"
"21802","Spina bifida NOS","P1z..00","","CPRD_GOLD"
"42497","Unspecified spina bifida with hydrocephalus","P100.00","","CPRD_GOLD"
"46790","Spina bifida with hydrocephalus","P10..00","","CPRD_GOLD"
"47288","Spina bifida with hydrocephalus - open NOS","P102z00","","CPRD_GOLD"
"47827","Lumbar meningomyelocele","P114300","","CPRD_GOLD"
"48609","Spina bifida without hydrocephalus - closed","P118.00","","CPRD_GOLD"
"50565","Thoracic spina bifida with hydrocephalus","P100200","","CPRD_GOLD"
"56362","Spina bifida with stenosis of aqueduct of Sylvius","P105.00","","CPRD_GOLD"
"57113","Lumbar spina bifida with hydrocephalus","P100300","","CPRD_GOLD"
"57243","Thoracic spina bifida with hydrocephalus - open","P102200","","CPRD_GOLD"
"57611","Meningomyelocele NOS","P114z00","","CPRD_GOLD"
"59218","Dandy - Walker syndrome with spina bifida","P10y000","","CPRD_GOLD"
"60623","Sacral spina bifida with hydrocephalus - open","P102400","","CPRD_GOLD"
"63513","Closed spina bifida with Arnold-Chiari malformation","P101.11","","CPRD_GOLD"
"64717","Spina bifida with hydrocephalus NOS","P10z.00","","CPRD_GOLD"
"65246","Spina bifida without hydrocephalus - closed NOS","P118z00","","CPRD_GOLD"
"65936","Lumbar spina bifida without hydrocephalus - closed","P118300","","CPRD_GOLD"
"68221","Cervical spina bifida without mention of hydrocephalus","P110100","","CPRD_GOLD"
"69370","Unspecified spina bifida without hydrocephalus - closed","P118000","","CPRD_GOLD"
"69397","Lumbar spina bifida without hydrocephalus - open","P117300","","CPRD_GOLD"
"70923","Sacral spina bifida without hydrocephalus - closed","P118400","","CPRD_GOLD"
"71525","Sacral spina bifida without hydrocephalus - open","P117400","","CPRD_GOLD"
"72018","Cervical spina bifida without hydrocephalus - closed","P118100","","CPRD_GOLD"
"72928","Sacral spina bifida with hydrocephalus - closed","P103400","","CPRD_GOLD"
"73085","Other specified spina bifida with hydrocephalus","P10y.00","","CPRD_GOLD"
"73608","Spina bifida without hydrocephalus - open NOS","P117z00","","CPRD_GOLD"
"90482","Thoracolumbar spina bifida with hydrocephalus - closed","P103z11","","CPRD_GOLD"
"93902","Spina bifida with hydrocephalus - closed","P103.00","","CPRD_GOLD"
"95018","Unspecified spina bifida without hydrocephalus NOS","P110z00","","CPRD_GOLD"
"95478","Thoracic spina bifida without hydrocephalus - open","P117200","","CPRD_GOLD"
"96407","Lumbar spina bifida without mention of hydrocephalus","P110300","","CPRD_GOLD"
"96709","Thoracic spina bifida without mention of hydrocephalus","P110200","","CPRD_GOLD"
"98280","Spina bifida without mention of hydrocephalus NOS","P11z.00","","CPRD_GOLD"
"98298","Spina bifida with hydrocephalus NOS","P100z00","","CPRD_GOLD"
"98811","Spina bifida with hydrocephalus - open","P102.00","","CPRD_GOLD"
"99281","Spina bifida without hydrocephalus - open","P117.00","","CPRD_GOLD"
"99299","Thoracic meningomyelocele","P114200","","CPRD_GOLD"
"99332","Meningomyelocele of unspecified site","P114000","","CPRD_GOLD"
"99894","Other specified spina bifida without hydrocephalus","P11y.00","","CPRD_GOLD"
"101013","Spina bifida without hydrocephalus, site unspecified","P110000","","CPRD_GOLD"
"102628","Spina bifida with hydrocephalus of late onset","P104.00","","CPRD_GOLD"
"103284","Lumbar spina bifida with hydrocephalus - open","P102300","","CPRD_GOLD"
"105767","Lumbar spina bifida with hydrocephalus - closed","P103300","","CPRD_GOLD"
"106579","[X]Unspecified spina bifida with hydrocephalus","Pyu0400","","CPRD_GOLD"
"107144","Cervical meningomyelocele","P114100","","CPRD_GOLD"
"109243","Cervical spina bifida with hydrocephalus","P100100","","CPRD_GOLD"
"112518","Spina bifida with hydrocephalus - closed NOS","P103z00","","CPRD_GOLD"
"113139","Unspecified spina bifida with hydrocephalus - closed","P103000","","CPRD_GOLD"
"113441","Thoracolumbar spina bifida without hydrocephalus - closed","P118z11","","CPRD_GOLD"
