"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"Q05","Spina bifida","Q05","","ICD10"
"Q050","Cervical spina bifida with hydrocephalus","Q05.0","","ICD10"
"Q051","Thoracic spina bifida with hydrocephalus","Q05.1","","ICD10"
"Q052","Lumbar spina bifida with hydrocephalus","Q05.2","","ICD10"
"Q053","Sacral spina bifida with hydrocephalus","Q05.3","","ICD10"
"Q054","Unspecified spina bifida with hydrocephalus","Q05.4","","ICD10"
"Q055","Cervical spina bifida without hydrocephalus","Q05.5","","ICD10"
"Q056","Thoracic spina bifida without hydrocephalus","Q05.6","","ICD10"
"Q057","Lumbar spina bifida without hydrocephalus","Q05.7","","ICD10"
"Q058","Sacral spina bifida without hydrocephalus","Q05.8","","ICD10"
"Q059","Spina bifida, unspecified","Q05.9","","ICD10"
"Q760","Spina bifida occulta","Q76.0","","ICD10"
