"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"351300013","Thrombophilia","D30A.00","234467004","CPRD_AURUM"
"450270016","Factor V Leiden mutation","D303700","307091009","CPRD_AURUM"
"450295015","Homozygous Factor V Leiden mutation","D303800","307115002","CPRD_AURUM"
"450296019","Heterozygous Factor V Leiden mutation","D303900","307116001","CPRD_AURUM"
"1221214016","Protein S deficiency","D309.00","1563006","CPRD_AURUM"
"1233987014","Protein C deficiency","D30B.00","76407009","CPRD_AURUM"
"2871986010","Primary thrombophilia","D30A000","439698008","CPRD_AURUM"
"1803711000006115","Hyperhomocysteinemia","","419503008","CPRD_AURUM"
"1858421000006115","Lupus anticoagulant positive","","1858421000006104","CPRD_AURUM"
"2476041000000119","Antithrombin III deficiency type I","D30A100","973271000000108","CPRD_AURUM"
"2790283013","Prothrombin G20210A mutation","","440989002","CPRD_AURUM"
"7226641000006117","Hereditary thrombophilia","","439698008","CPRD_AURUM"
"2523501000006117","Protein S deficiency disease","","1563006","CPRD_AURUM"
"3085841000006116","Antithrombin 3 deficiency","","36351005","CPRD_AURUM"
"3085831000006114","Antithrombin deficiency","","36351005","CPRD_AURUM"
"2929851000006114","APL - Antiphospholipid syndrome","","26843008","CPRD_AURUM"
"257497013","Factor V Leiden genotype","42Qe.00","993371000000109","CPRD_AURUM"
"5964321000006118","Factor 5 Leiden mutation","","307091009","CPRD_AURUM"
"7226651000006115","Hereditary hypercoagulable disorder","","439698008","CPRD_AURUM"
"2476081000000110","Antithrombin III deficiency type II","D30A200","973291000000107","CPRD_AURUM"
"1676381000006119","Antithrombin III deficiency","","36351005","CPRD_AURUM"
"44918014","Antiphospholipid syndrome","N006.00","26843008","CPRD_AURUM"
"2149701000000114","Hyperhomocysteinaemia","C304500","419503008","CPRD_AURUM"
"2267501000000115","Lupus anticoagulant positive","43GE100","878791000000101","CPRD_AURUM"
"2929841000006112","Anticardiolipin syndrome","","26843008","CPRD_AURUM"
"3085821000006111","AT deficiency - Antithrombin deficiency","","36351005","CPRD_AURUM"
"3742921000006119","Protein C deficiency disease","","76407009","CPRD_AURUM"
"2929831000006119","APS - Antiphospholipid syndrome","","26843008","CPRD_AURUM"
"3848461000006119","Antiphospholipid antibody measurement","","82886000","CPRD_AURUM"
"5140941000006114","Primary antiphospholipid syndrome","","239892009","CPRD_AURUM"
"4594911000006111","Factor V Leiden genotype","","165606004","CPRD_AURUM"
"7245061000006118","Hereditary elevated factor VIII","","441042008","CPRD_AURUM"
"7249711000006115","Heterozygous prothrombin G20210A mutation","","441421001","CPRD_AURUM"
"8022611000006115","Antiphospholipid syndrome in pregnancy","","72161000119100","CPRD_AURUM"
