"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"7516","Thrombophilia","D30A.00","","CPRD_GOLD"
"8479","Protein S deficiency","D309.00","","CPRD_GOLD"
"8674","Factor V Leiden genotype","42Qe.00","","CPRD_GOLD"
"12177","Antiphospholipid syndrome","N006.00","","CPRD_GOLD"
"25971","Factor V Leiden mutation","D303700","","CPRD_GOLD"
"26102","Protein C deficiency","D30B.00","","CPRD_GOLD"
"32933","Heterozygous factor V Leiden mutation","D303900","","CPRD_GOLD"
"44146","Homozygous factor V Leiden mutation","D303800","","CPRD_GOLD"
"104314","Hyperhomocysteinaemia","C304500","","CPRD_GOLD"
"105875","Primary thrombophilia","D30A000","","CPRD_GOLD"
"110341","Antithrombin III deficiency type I","D30A100","","CPRD_GOLD"
"110847","Antithrombin III deficiency type II","D30A200","","CPRD_GOLD"
