"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"19006012","Thoracic spondylosis with myelopathy","N113.00","10948005","CPRD_AURUM"
"22650012","Congenital spondylolisthesis","PG12.00","13236000","CPRD_AURUM"
"68961012","Thoracic spinal stenosis","N140100","41341006","CPRD_AURUM"
"126406018","Spinal stenosis","N140.11","76107001","CPRD_AURUM"
"138588018","Cervical spinal stenosis","N130.00","83561009","CPRD_AURUM"
"276261011","Primary excision of cervical intervertebral disc","7J20.00","178517008","CPRD_AURUM"
"276274017","Primary posterior excision of cervical intervertebral disc","7J20400","178523003","CPRD_AURUM"
"276277012","Primary microdiscectomy of cervical intervertebral disc","7J20700","178526006","CPRD_AURUM"
"276287011","Revision anterior excision cervical disc and fusion","7J21300","178534000","CPRD_AURUM"
"276291018","Revisional microdiscectomy of cervical intervertebral disc","7J21700","178538002","CPRD_AURUM"
"276310015","Primary anterior excision thoracic disc and fusion","7J23000","178551007","CPRD_AURUM"
"276313018","Primary posterior decompression of thoracic disc","7J23300","178554004","CPRD_AURUM"
"276314012","Primary anterolateral biopsy of thoracic intervertebral disc","7J23400","178555003","CPRD_AURUM"
"276330016","Revisional posterior decompression of thoracic disc","7J24300","178571003","CPRD_AURUM"
"276388015","Primary lumbar discectomy","7J32.00","178618008","CPRD_AURUM"
"276389011","Primary removal of lumbar intervertebral disc","7J32.12","178618008","CPRD_AURUM"
"276390019","Primary excision of lumbar intervertebral disc","7J32.11","178618008","CPRD_AURUM"
"276391015","Primary laminectomy excision of lumbar intervertebral disc","7J32000","178619000","CPRD_AURUM"
"276392010","Primary fenestration excision of lumbar disc","7J32100","178620006","CPRD_AURUM"
"276393017","Primary fenestration of lumbar intervertebral disc","7J32111","178620006","CPRD_AURUM"
"276400013","Primary lumbar microdiscectomy","7J32600","178625001","CPRD_AURUM"
"276401012","Primary posterior excision of lumbar disc","7J32700","178626000","CPRD_AURUM"
"276406019","Revisional lumbar discectomy","7J33.00","178631003","CPRD_AURUM"
"276408018","Revisional removal of lumbar intervertebral disc","7J33.12","178631003","CPRD_AURUM"
"276411017","Revisional anterior excision of lumbar disc and fusion","7J33200","178634006","CPRD_AURUM"
"276418011","Revisional posterior excision of lumbar disc","7J33700","178639001","CPRD_AURUM"
"276467013","Decompression of fracture of spine","7J41.00","178674000","CPRD_AURUM"
"276468015","Complex decompression of fracture of spine","7J41000","178675004","CPRD_AURUM"
"276469011","Anterior decompression of fracture of spine","7J41100","178676003","CPRD_AURUM"
"276470012","Posterior decompression of fracture of spine","7J41200","178677007","CPRD_AURUM"
"276668012","Reduction of spondylolisthesis and fusion","7J48K00","178805003","CPRD_AURUM"
"279255012","Laminectomy approach to cervical spine","7M12000","180613008","CPRD_AURUM"
"279257016","Laminectomy approach to lumbar spine","7M12200","180615001","CPRD_AURUM"
"297148015","Myelopathy due to intervertebral disc disease","F163000","192905004","CPRD_AURUM"
"297150011","Myelopathy due to spondylosis","F163200","192907007","CPRD_AURUM"
"311055019","Single-level cervical spondylosis without myelopathy","N110000","202657000","CPRD_AURUM"
