"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"623","Lumbar disc degeneration","N127.00","","CPRD_GOLD"
"642","Intervertebral disc disorders","N12..00","","CPRD_GOLD"
"643","Prolapsed lumbar intervertebral disc","N122.11","","CPRD_GOLD"
"771","Cervical spondylosis","N110.11","","CPRD_GOLD"
"825","Degenerative disc disease NOS","N128.00","","CPRD_GOLD"
"829","Osteoarthritis spine","N11z.11","","CPRD_GOLD"
"903","Excision of intervertebral disc NEC","7J40400","","CPRD_GOLD"
"904","Slipped intervertebral disc","N12..12","","CPRD_GOLD"
"1100","Lumbar spondylosis","N114.12","","CPRD_GOLD"
"1500","Cervical disc degeneration","N125.00","","CPRD_GOLD"
"1575","Lumbar disc displacement","N122.00","","CPRD_GOLD"
"1871","Congenital spondylolisthesis","PG12.00","","CPRD_GOLD"
"2001","Spondylosis and allied disorders","N11..00","","CPRD_GOLD"
"2752","Vertebral column syndromes","N1...00","","CPRD_GOLD"
"2793","Collapse of vertebra NOS","N331.12","","CPRD_GOLD"
"2881","Cervical spondylosis without myelopathy","N110.00","","CPRD_GOLD"
"2895","Acquired spondylolisthesis","N384.00","","CPRD_GOLD"
"3219","Primary lumbar microdiscectomy","7J32600","","CPRD_GOLD"
"3370","Spinal stenosis","N140.11","","CPRD_GOLD"
"3447","Spondylosis NOS","N11z.00","","CPRD_GOLD"
"3680","Cervical disc displacement","N120.12","","CPRD_GOLD"
"4326","Thoracic disc degeneration","N126.00","","CPRD_GOLD"
"4355","Primary laminectomy excision of lumbar intervertebral disc","7J32000","","CPRD_GOLD"
"5183","Thoracic spondylosis","N112.11","","CPRD_GOLD"
"5573","Percutaneous discectomy","7J40700","","CPRD_GOLD"
"6037","Cervical disc disorder with radiculopathy","N12zH00","","CPRD_GOLD"
"6150","Intervertebral disc prolapse NOS","N123.11","","CPRD_GOLD"
"6261","Primary laminectomy excision of cervical intervert disc","7J20000","","CPRD_GOLD"
"6809","Primary lumbar discectomy","7J32.00","","CPRD_GOLD"
"7066","Cervical disc displacement without myelopathy","N120.00","","CPRD_GOLD"
"7429","Osteoarthritis of spine","N11..12","","CPRD_GOLD"
"8208","Cervical spondylosis with myelopathy","N111.00","","CPRD_GOLD"
"8266","Closed fracture lumbar vertebra, wedge","S104100","","CPRD_GOLD"
"8652","Primary excision of lumbar intervertebral disc NOS","7J32z00","","CPRD_GOLD"
"8667","Recurrent atlantoaxial subluxation with myelopathy","N1y0.00","","CPRD_GOLD"
"8809","Laminectomy approach to cervical spine","7M12000","","CPRD_GOLD"
"8823","Prolapsed lumbar intervertebral disc with sciatica","N12C400","","CPRD_GOLD"
"8920","Myelopathy due to spondylosis","F163200","","CPRD_GOLD"
"8944","Other spondyloses and allied disorders","N11y.00","","CPRD_GOLD"
"9319","Collapse of thoracic vertebra","N331F00","","CPRD_GOLD"
"9372","Cervical disc disorder with myelopathy","N129100","","CPRD_GOLD"
"9510","Primary anterior excision thoracic disc and fusion","7J23000","","CPRD_GOLD"
"9679","Other specified excision of intervertebral disc","7J40w00","","CPRD_GOLD"
"9834","Lumbosacral spondylosis with radiculopathy","N11C.00","","CPRD_GOLD"
"9912","Lumbar spinal stenosis","N140200","","CPRD_GOLD"
"10018","Primary excision of cervical intervertebral disc","7J20.00","","CPRD_GOLD"
"10121","Cervical spondylosis with radiculopathy","N119.00","","CPRD_GOLD"
"10198","Revisional lumbar discectomy","7J33.00","","CPRD_GOLD"
"11212","Disc prolapse with radiculopathy","N12C.00","","CPRD_GOLD"
"11250","Spondylolisthesis operation","7J48500","","CPRD_GOLD"
"11282","Primary anterior excis cervical IV disc & interbody fusion","7J20300","","CPRD_GOLD"
"11543","Collapse of lumbar vertebra","N331G00","","CPRD_GOLD"
"11688","Lumbosacral spondylosis with myelopathy","N115.00","","CPRD_GOLD"
"12094","Cervical spinal stenosis","N130.00","","CPRD_GOLD"
"12371","Degenerative spondylolisthesis","N384200","","CPRD_GOLD"
"12750","Lumbar disc prolapse with myelopathy","N12B200","","CPRD_GOLD"
"14682","Prolapsed intervertebral disc without myelopathy","N123.12","","CPRD_GOLD"
"15015","Lumbosacral spondylosis without myelopathy","N114.00","","CPRD_GOLD"
"15331","Spinal stenosis, excluding cervical region","N140.00","","CPRD_GOLD"
"15744","Multiple-level cervical spondylosis without myelopathy","N110200","","CPRD_GOLD"
"15837","Collapse of thoracic vertebra","N331011","","CPRD_GOLD"
"15921","Revisional lumbar microdiscectomy","7J33600","","CPRD_GOLD"
"16082","Schmorl's nodes","N124.00","","CPRD_GOLD"
"16135","Excision of intervertebral disc NOS","7J40x00","","CPRD_GOLD"
"16743","Fusion spondylolisthesis in situ","7J48L00","","CPRD_GOLD"
"16876","Sacrococcygeal disorders, not elsewhere classified","N14X.00","","CPRD_GOLD"
"16895","Fatigue fracture of vertebra","N1y1.00","","CPRD_GOLD"
"17008","Collapse of cervical vertebra","N331E00","","CPRD_GOLD"
"17092","Osteoarthritis cervical spine","N110.12","","CPRD_GOLD"
"17565","Laminectomy approach to thoracic spine","7M12100","","CPRD_GOLD"
"17576","Primary posterior laminectomy decompression lumbar spine","7J30311","","CPRD_GOLD"
"17678","Laminectomy approach to lumbar spine","7M12200","","CPRD_GOLD"
"17766","Spondylosis NOS","N11zz00","","CPRD_GOLD"
"18205","Dorsal spondylosis without myelopathy","N112300","","CPRD_GOLD"
