"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"V246","Primary posterior laminectomy decompression of thoracic spine","V24.6","","HES-OPCSv4.9"
"V247","Revisional posterior laminectomy decompression of thoracic spine","V24.7","","HES-OPCSv4.9"
"V254","Primary posterior laminectomy decompression of lumbar spine","V25.4","","HES-OPCSv4.9"
"V264","Revisional posterior laminectomy decompression of lumbar spine","V26.4","","HES-OPCSv4.9"
"V29","Primary excision of cervical intervertebral disc","V29","","HES-OPCSv4.9"
"V291","Primary laminectomy excision of cervical intervertebral disc","V29.1","","HES-OPCSv4.9"
"V292","Primary hemilaminectomy excision of cervical intervertebral disc","V29.2","","HES-OPCSv4.9"
"V293","Primary fenestration excision of cervical intervertebral disc","V29.3","","HES-OPCSv4.9"
"V294","Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine","V29.4","","HES-OPCSv4.9"
"V295","Primary anterior excision of cervical intervertebral disc NEC","V29.5","","HES-OPCSv4.9"
"V296","Primary microdiscectomy of cervical intervertebral disc","V29.6","","HES-OPCSv4.9"
"V298","Other specified primary excision of cervical intervertebral disc","V29.8","","HES-OPCSv4.9"
"V299","Unspecified primary excision of cervical intervertebral disc","V29.9","","HES-OPCSv4.9"
"V30","Revisional excision of cervical intervertebral disc","V30","","HES-OPCSv4.9"
"V301","Revisional laminectomy excision of cervical intervertebral disc","V30.1","","HES-OPCSv4.9"
"V302","Revisional hemilaminectomy excision of cervical intervertebral disc","V30.2","","HES-OPCSv4.9"
"V303","Revisional fenestration excision of cervical intervertebral disc","V30.3","","HES-OPCSv4.9"
"V304","Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine","V30.4","","HES-OPCSv4.9"
"V305","Revisional anterior excision of cervical intervertebral disc NEC","V30.5","","HES-OPCSv4.9"
"V306","Revisional microdiscectomy of cervical intervertebral disc","V30.6","","HES-OPCSv4.9"
"V308","Other specified revisional excision of cervical intervertebral disc","V30.8","","HES-OPCSv4.9"
"V309","Unspecified revisional excision of cervical intervertebral disc","V30.9","","HES-OPCSv4.9"
"V31","Primary excision of thoracic intervertebral disc","V31","","HES-OPCSv4.9"
"V311","Primary anterolateral excision of thoracic intervertebral disc and graft HFQ","V31.1","","HES-OPCSv4.9"
"V312","Primary anterolateral excision of thoracic intervertebral disc NEC","V31.2","","HES-OPCSv4.9"
"V313","Primary costotransversectomy of thoracic intervertebral disc","V31.3","","HES-OPCSv4.9"
"V314","Primary percutaneous endoscopic excision of thoracic intervertebral disc","V31.4","","HES-OPCSv4.9"
"V318","Other specified primary excision of thoracic intervertebral disc","V31.8","","HES-OPCSv4.9"
"V319","Unspecified primary excision of thoracic intervertebral disc","V31.9","","HES-OPCSv4.9"
"V32","Revisional excision of thoracic intervertebral disc","V32","","HES-OPCSv4.9"
"V321","Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ","V32.1","","HES-OPCSv4.9"
"V322","Revisional anterolateral excision of thoracic intervertebral disc NEC","V32.2","","HES-OPCSv4.9"
"V323","Revisional costotransversectomy of thoracic intervertebral disc","V32.3","","HES-OPCSv4.9"
"V324","Revisional percutaneous endoscopic excision of thoracic intervertebral disc","V32.4","","HES-OPCSv4.9"
"V328","Other specified revisional excision of thoracic intervertebral disc","V32.8","","HES-OPCSv4.9"
"V329","Unspecified revisional excision of thoracic intervertebral disc","V32.9","","HES-OPCSv4.9"
"V33","Primary excision of lumbar intervertebral disc","V33","","HES-OPCSv4.9"
"V331","Primary laminectomy excision of lumbar intervertebral disc","V33.1","","HES-OPCSv4.9"
"V332","Primary fenestration excision of lumbar intervertebral disc","V33.2","","HES-OPCSv4.9"
