"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"G551","Nerve root and plexus compressions in intervertebral disc disorders","G55.1","","ICD10"
"G552","Nerve root and plexus compressions in spondylosis","G55.2","","ICD10"
"G553","Nerve root and plexus compressions in other dorsopathies","G55.3","","ICD10"
"M43","Other deforming dorsopathies","M43","","ICD10"
"M431","Spondylolisthesis","M43.1","","ICD10"
"M4310","Spondylolisthesis","M43.10","","ICD10"
"M4311","Spondylolisthesis","M43.11","","ICD10"
"M4312","Spondylolisthesis","M43.12","","ICD10"
"M4313","Spondylolisthesis","M43.13","","ICD10"
"M4314","Spondylolisthesis","M43.14","","ICD10"
"M4315","Spondylolisthesis","M43.15","","ICD10"
"M4316","Spondylolisthesis","M43.16","","ICD10"
"M4317","Spondylolisthesis","M43.17","","ICD10"
"M4318","Spondylolisthesis","M43.18","","ICD10"
"M4319","Spondylolisthesis","M43.19","","ICD10"
"M433","Recurrent atlantoaxial subluxation with myelopathy","M43.3","","ICD10"
"M4330","Recurrent atlantoaxial subluxation with myelopathy","M43.30","","ICD10"
"M4331","Recurrent atlantoaxial subluxation with myelopathy","M43.31","","ICD10"
"M4332","Recurrent atlantoaxial subluxation with myelopathy","M43.32","","ICD10"
"M4333","Recurrent atlantoaxial subluxation with myelopathy","M43.33","","ICD10"
"M4334","Recurrent atlantoaxial subluxation with myelopathy","M43.34","","ICD10"
"M4335","Recurrent atlantoaxial subluxation with myelopathy","M43.35","","ICD10"
"M4336","Recurrent atlantoaxial subluxation with myelopathy","M43.36","","ICD10"
"M4337","Recurrent atlantoaxial subluxation with myelopathy","M43.37","","ICD10"
"M4338","Recurrent atlantoaxial subluxation with myelopathy","M43.38","","ICD10"
"M4339","Recurrent atlantoaxial subluxation with myelopathy","M43.39","","ICD10"
"M434","Other recurrent atlantoaxial subluxation","M43.4","","ICD10"
"M438","Other specified deforming dorsopathies","M43.8","","ICD10"
"M4380","Other specified deforming dorsopathies","M43.80","","ICD10"
"M4381","Other specified deforming dorsopathies","M43.81","","ICD10"
"M4382","Other specified deforming dorsopathies","M43.82","","ICD10"
"M4383","Other specified deforming dorsopathies","M43.83","","ICD10"
"M4384","Other specified deforming dorsopathies","M43.84","","ICD10"
"M4385","Other specified deforming dorsopathies","M43.85","","ICD10"
"M4386","Other specified deforming dorsopathies","M43.86","","ICD10"
"M4387","Other specified deforming dorsopathies","M43.87","","ICD10"
"M4388","Other specified deforming dorsopathies","M43.88","","ICD10"
"M4389","Other specified deforming dorsopathies","M43.89","","ICD10"
"M439","Deforming dorsopathy, unspecified","M43.9","","ICD10"
"M4390","Deforming dorsopathy, unspecified","M43.90","","ICD10"
