"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"53464010","Chronic gonococcal endometritis","A983600","31999004","CPRD_AURUM"
"54399018","Chronic oophoritis","K401000","32582007","CPRD_AURUM"
"89006018","Chronic gonococcal salpingitis","A983700","53529004","CPRD_AURUM"
"92337013","Chronic salpingitis","K401300","55551005","CPRD_AURUM"
"304659018","Chronic salpingo-oophoritis","K401200","198142001","CPRD_AURUM"
"304660011","Chronic perisalpingitis","K401400","198143006","CPRD_AURUM"
"304682016","Female chronic pelvic peritonitis","K404500","198161002","CPRD_AURUM"
"485094015","Uterus - chronic gonorrhoea","A983611","31999004","CPRD_AURUM"
"504414012","Chronic gonorrhoea of upper genitourinary tract","A983.00","80388004","CPRD_AURUM"
"1232567014","Chronic abscess of the female pelvis","K404300","64532005","CPRD_AURUM"
"887091000006118","Chronic salpingitis/oophoritis","K401.99","198142001","CPRD_AURUM"
"287331017","Chronic gonorrhoea of upper genitourinary tract NOS","A983z00","80388004","CPRD_AURUM"
"304683014","Chronic pelvic inflammatory diseases NOS","K404z00","237044002","CPRD_AURUM"
"304717014","Chronic uterine inflammatory disease NOS","K411z00","198188007","CPRD_AURUM"
"556601000006112","Chronic salpingitis and oophoritis","K401.00","198142001","CPRD_AURUM"
"3007071000006112","Chronic abscess of parametrium","","31474007","CPRD_AURUM"
"3549431000006119","Chronic abscess of female pelvis","","64532005","CPRD_AURUM"
"5102721000006114","Chronic PID - Chronic pelvic inflammatory disease","","237044002","CPRD_AURUM"
"11923641000006111","Chronic gonorrhea of upper genitourinary tract","","80388004","CPRD_AURUM"
"3549441000006112","Chronic pelvic abscess - female","","64532005","CPRD_AURUM"
"304695014","Other chronic female pelvic peritonitis","K408.00","237044002","CPRD_AURUM"
"304679014","Chronic parametritis and pelvic cellulitis","K404.00","198159006","CPRD_AURUM"
"304715018","Chronic uterine inflammatory disease","K411.00","198188007","CPRD_AURUM"
"304716017","Chronic pyometra","K411400","198189004","CPRD_AURUM"
"29947013","Chronic endomyometritis","K411100","17716001","CPRD_AURUM"
"106241010","Chronic endometritis","K411000","63922003","CPRD_AURUM"
"304663013","Chronic salpingitis and oophoritis NOS","K401z00","198142001","CPRD_AURUM"
"287323010","Chronic unspecified gonorrhoea of upper genitourinary tract","A983000","80388004","CPRD_AURUM"
"3758221000006110","Chronic abscess of broad ligament","","77360001","CPRD_AURUM"
"4791531000006114","Chronic female pelvic peritonitis","","198161002","CPRD_AURUM"
"1227519016","Chronic abscess of the parametrium","K404200","31474007","CPRD_AURUM"
"3015341000006112","Uterus - chronic gonorrhea","","31999004","CPRD_AURUM"
"1234099011","Chronic abscess of the broad ligament","K404100","77360001","CPRD_AURUM"
"304658014","Chronic perioophoritis","K401100","198141008","CPRD_AURUM"
"304680012","Chronic female pelvic cellulitis","K404000","198160001","CPRD_AURUM"
"22462017","Chronic myometritis","K411200","13125003","CPRD_AURUM"
"63108018","Chronic perimetritis","K411300","37830006","CPRD_AURUM"
"4791511000006115","Chronic pelvic cellulitis","","198160001","CPRD_AURUM"
"12220871000006112","Chronic metritis","","198188007","CPRD_AURUM"
"7565521000006115","Acute on chronic endometritis","","702716009","CPRD_AURUM"
