"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"2349","Chronic abscess of the female pelvis","K404300","","CPRD_GOLD"
"4662","Chronic salpingitis","K401300","","CPRD_GOLD"
"16101","Chronic gonococcal salpingitis","A983700","","CPRD_GOLD"
"24294","Chronic female pelvic cellulitis","K404000","","CPRD_GOLD"
"27919","Chronic endometritis","K411000","","CPRD_GOLD"
"30446","Chronic salpingitis and oophoritis","K401.00","","CPRD_GOLD"
"38794","Female chronic pelvic peritonitis","K404500","","CPRD_GOLD"
"41678","Chronic salpingo-oophoritis","K401200","","CPRD_GOLD"
"42277","Chronic pelvic inflammatory diseases NOS","K404z00","","CPRD_GOLD"
"46317","Chronic endomyometritis","K411100","","CPRD_GOLD"
"48663","Chronic parametritis and pelvic cellulitis","K404.00","","CPRD_GOLD"
"51488","Chronic gonococcal endometritis","A983600","","CPRD_GOLD"
"52261","Chronic oophoritis","K401000","","CPRD_GOLD"
"54285","Other chronic female pelvic peritonitis","K408.00","","CPRD_GOLD"
"55439","Chronic pyometra","K411400","","CPRD_GOLD"
"60825","Chronic salpingitis and oophoritis NOS","K401z00","","CPRD_GOLD"
"67249","Chronic uterine inflammatory disease","K411.00","","CPRD_GOLD"
"71263","Chronic abscess of the parametrium","K404200","","CPRD_GOLD"
"71884","Chronic abscess of the broad ligament","K404100","","CPRD_GOLD"
"85172","Chronic perioophoritis","K401100","","CPRD_GOLD"
"97383","Chronic gonorrhoea of upper genitourinary tract","A983.00","","CPRD_GOLD"
"111687","Chronic perimetritis","K411300","","CPRD_GOLD"
"112012","Chronic unspecified gonorrhoea of upper genitourinary tract","A983000","","CPRD_GOLD"
"112014","Uterus - chronic gonorrhoea","A983611","","CPRD_GOLD"
"112015","Chronic gonorrhoea of upper genitourinary tract NOS","A983z00","","CPRD_GOLD"
"114113","Chronic uterine inflammatory disease NOS","K411z00","","CPRD_GOLD"
